--- Environment ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;25.86023834028383;26.073405613625393;25.919237327746508;26.06350445905422
2005;25.8453865364115;26.102195495741263;25.91538527536286;26.063857950358383
2006;25.854060110414398;26.09187474241644;25.927759686000478;26.060274125387224
2007;25.909961781995076;26.09999581859934;25.94414079640097;26.07922876127061
2008;25.92015948094098;26.13174330219505;25.98152207549924;26.10306308291844
2009;25.934379688774907;26.158469921361423;25.98734191313781;26.097802789169645
2010;25.942022641159316;26.16511594427164;26.004620537470128;26.11142886857874
2011;25.921630377413564;26.16462514910014;26.010720613771554;26.11191092240841
2012;25.98977331898425;26.18316470643548;26.0413092452361;26.13790674064523
2013;26.013572096692624;26.190615527061567;26.059094933450726;26.125581692258553
2014;26.036471522883236;26.183350891213326;26.098916190755332;26.14313366949109
2015;26.056954189091513;26.209246876600524;26.085775175581183;26.14612742752827
2016;26.084649309187643;26.2123639308789;26.109881203259487;26.154872676620016
2017;26.069925862199668;26.21935897048594;26.115289156105167;26.151548642639025
2018;26.08056789503962;26.19708616084849;26.115916323422454;26.142019053072914
2019;26.12733497167802;26.20316877697698;26.130971842795006;26.163847186039423
