--- REGION --- GBR ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;23.54445622067413;23.88781656880817;23.642004336085332;23.873154575189698
2005;23.54445622067413;23.88885578438504;23.642004336085332;23.87454019595886
2006;23.54445622067413;23.88973189111358;23.642004336085332;23.87570833826358
2007;23.559432275527772;23.892804919831153;23.640246738243295;23.87797433688331
2008;23.549201327915387;23.91279998936822;23.644462010667187;23.88188654439236
2009;23.559968372112774;23.91867644184229;23.64676137162828;23.883493515563803
2010;23.591921205197618;23.925632372648295;23.667856800078113;23.885871483103667
2011;23.582939943647172;23.918393296392466;23.65753372799358;23.892819237281515
2012;23.583268052932414;23.916880281915237;23.66565470477253;23.90474708052976
2013;23.584599235119985;23.9119592449727;23.67460435550602;23.918308155899933
2014;23.583019608519567;23.910218411897063;23.67824525032167;23.93109662613882
2015;23.588824566426464;23.91233436713933;23.686377139867872;23.942077494619884
2016;23.596368605247036;23.91272143721899;23.67187336856899;23.949630565877058
2017;23.604162816060597;23.918020058112603;23.678553512963575;23.968337410246495
2018;23.617464679346167;23.925901253492523;23.691892811344882;23.97319523282349
2019;23.626221602394434;23.927643329005377;23.69497333484891;23.97484636498567
2020;23.643451321817867;23.92486549884045;23.705664882800882;23.988627547689635
2021;23.644532769266174;23.93314551625471;23.713015094799182;23.98716473237602
