--- REGION --- Health ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;74.9655420787114;75.35752900693821;74.70064213834269;75.57089056301406
2005;74.96341888526474;75.3538874581331;74.71400690939984;75.58267725846233
2006;74.97891248352872;75.36212941624751;74.73611765191417;75.58977561222271
2007;74.97023481155215;75.36146006567213;74.75943885862213;75.42878214239526
2008;75.00116633225117;75.36772405488885;74.77759587251876;75.4462861470386
2009;75.02740986888845;75.28028879089186;74.72373552346184;75.61569537392768
2010;75.02431182919786;75.21960795719289;74.72423200128551;75.61258955912648
2011;75.01241481977631;75.18829326356826;74.74443084012125;75.61476405554863
2012;75.04135359732659;75.18597902253192;74.75842660206523;75.62772456306237
2013;75.04785179975971;75.1453669688164;74.73823147879901;75.61798165426067
2014;75.0727312060589;75.11985333424369;74.77483063808006;75.62231704116158
2015;75.07936203528595;75.11063575204028;74.79202094189537;75.61158829893505
2016;75.10942637776549;75.10225177019487;74.81785293028572;75.61183349217032
2017;75.11666692430032;75.07636626084965;74.83073878975301;75.59978686581944
2018;75.12690212892868;75.07618901937457;74.82890811692421;75.59471881946051
2019;75.0923688490163;75.04713208182648;74.80626466451795;75.57429883132191
2020;75.09361656262212;75.05271931484381;74.811676648335;75.58820648286023
2021;75.10443945567279;75.04749334539821;74.80555437619124;75.58417126258927
