--- REGION --- Interactions ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2005;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2006;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2007;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2008;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2009;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2010;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2011;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2012;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2013;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2014;25.191563344702768;25.396964791269355;25.305290379718997;25.38782615562245
2015;25.215312712472738;25.403079476826562;25.348072711522278;25.39480314304947
2016;25.215312712472738;25.403079476826562;25.348072711522278;25.39480314304947
2017;25.215312712472738;25.403079476826562;25.348072711522278;25.39480314304947
2018;25.251660498135323;25.411506110811228;25.39125362968156;25.389545554518218
2019;25.251660498135323;25.411506110811228;25.39125362968156;25.389545554518218
2020;25.251660498135323;25.411506110811228;25.39125362968156;25.389545554518218
2021;25.251660498135323;25.411506110811228;25.39125362968156;25.389545554518218
