--- REGION --- Leisure ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2005;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2006;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2007;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2008;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2009;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2010;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2011;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2012;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2013;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2014;24.520527327481588;25.041597121774274;24.60226969892704;25.042313876894898
2015;24.53394844619488;25.064756399284114;24.60612286015013;25.05502422031964
2016;24.53394844619488;25.064756399284114;24.60612286015013;25.05502422031964
2017;24.53394844619488;25.064756399284114;24.60612286015013;25.05502422031964
2018;24.53394844619488;25.064756399284114;24.60612286015013;25.05502422031964
2019;24.53394844619488;25.064756399284114;24.60612286015013;25.05502422031964
2020;24.53394844619488;25.064756399284114;24.60612286015013;25.05502422031964
2021;24.53394844619488;25.064756399284114;24.60612286015013;25.05502422031964
