--- REGION --- MLC ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;60.88418373295036;61.63553124828098;61.48869014804651;62.01940688354335
2005;60.88418373295036;61.65026292549862;61.50755925936123;62.028577218459894
2006;60.906512821204274;61.680865211883265;61.51016031028119;62.036867290530175
2007;60.98412660683615;61.73646484274505;61.53237316602206;62.05467855032156
2008;61.046661648077;61.74695158113543;61.509661129702636;62.03696415848873
2009;61.09773471655066;61.715181256479475;61.501971684320914;62.04300204142806
2010;61.10997249556244;61.69379203976587;61.48340355916897;62.039999392206425
2011;61.12501212375551;61.77047428077385;61.51101063514643;62.048462517791165
2012;61.11140329562056;61.79313132246323;61.483557761969095;62.04575390467652
2013;61.12349857907315;61.77575258187809;61.44028174899551;62.02992442525644
2014;61.16666979375299;61.80375454490377;61.45533923782453;62.026485689443774
2015;61.20667663269225;61.83121887689521;61.49150470467196;62.026660723368025
2016;61.24776594952405;61.84444375086188;61.51549248772526;62.01252227806785
2017;61.30338535406275;61.87337311527461;61.586512815088504;62.02209660398356
2018;61.43828998251595;61.918104195868615;61.64500367946575;62.03475589581728
2019;61.473685111853136;61.94571863671895;61.6945535510012;62.04654154392983
2020;61.51051978060449;61.963769161452284;61.70170963489061;62.03124641349883
2021;61.54729715826493;61.95743444134706;61.71031193603783;62.03946221011287
