--- REGION --- PMA ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;61.343322579071305;61.88367928858205;61.46929915018503;61.95071012963127
2005;61.35003706270833;61.9063658558003;61.466886989659606;61.953830243582836
2006;61.38736549310033;61.94831582952782;61.4906636143401;61.968926117601285
2007;61.432395240105734;61.99346998324452;61.526267139827695;62.000926109595945
2008;61.46119275800118;62.01009561624151;61.548211945283114;62.012499598763185
2009;61.448983870283946;61.91465968065616;61.51829879511194;62.01310294612222
2010;61.42375223026081;61.87384398740236;61.483374851546586;62.0327184040032
2011;61.421278528009736;61.88137785312069;61.45299890547289;62.061196949806096
2012;61.41282634585276;61.914745986998874;61.404216164555045;62.06583012551996
2013;61.42195185434452;61.93733903923321;61.368374779354305;62.07461256581691
2014;61.45547510560291;61.972103022182694;61.36507187613629;62.07771615545448
2015;61.500415756180665;61.989136608691545;61.37694473659755;62.08482359215017
2016;61.54521108204053;62.014875725242064;61.4087684728503;62.102968441923586
2017;61.61553528963113;62.047610202651946;61.46606517017124;62.126783612382944
2018;61.70156930963279;62.101336821072806;61.539707731581835;62.140087045558914
2019;61.735724526619634;62.1356146043754;61.59611724965417;62.1747258531677
2020;61.75487564314208;62.13262529006537;61.60959829237713;62.18071710968713
2021;61.743648566735914;62.12772188774953;61.637828766504185;62.192458101386194
