--- REGION --- Safety ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;30.69163333874991;31.322971598181677;31.326414551969144;32.15294415196501
2005;30.696497293075904;31.302782186651623;31.331914593157414;32.14132327504302
2006;30.74600502566879;31.339525445126064;31.348612172163683;32.12647237688616
2007;30.755036157515164;31.401855056306577;31.34125650346979;32.099590017254606
2008;30.825051796823516;31.411309021685817;31.346310454056084;32.08546939131849
2009;30.813902777460203;31.374174496284404;31.316410832818452;32.05549635786671
2010;30.832648819641104;31.36585758894519;31.295876303590543;32.04921162209403
2011;30.8355308376596;31.34922922481754;31.271791292632848;32.064440122947424
2012;30.811293516329627;31.364017388358775;31.23820330230439;32.06935505270716
2013;30.821660879748833;31.377076611350667;31.2057612419368;32.07282339951674
2014;30.859802732513327;31.385516255187547;31.20015493348495;32.068166617203396
2015;30.90117122037863;31.41816690834276;31.22104191092336;32.07440815725889
2016;30.941116159259554;31.427328421881285;31.26228275077731;32.08277429927656
2017;30.989605162633712;31.448130905859344;31.291585504614112;32.09784148482167
2018;31.047928957778044;31.45718747654691;31.305270285127108;32.101549420299676
2019;31.074583940578076;31.472642993407078;31.321844310885087;32.10726312462437
2020;31.08620457701981;31.495294242048555;31.340402120005308;32.08612059753013
2021;31.10427184311015;31.5165838249994;31.34708248369866;32.09851264449468
