--- COUNTRY --- education ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;45.6313;45.6366;45.6344;45.6246;45.634;45.6438;45.6497;45.6822;45.6965;45.6962;45.7096;45.7223;45.8486;45.8604;45.8601;45.8576;45.8234;45.8473;45.8564;45.8645
BE;45.3871;45.4043;45.4117;45.4147;45.425;45.4299;45.4262;45.343;45.3397;45.3509;45.3713;45.3677;45.5594;45.5826;45.5906;45.5907;45.5882;45.6305;45.6155;45.6482
BG;44.9066;44.9259;44.9763;45.0196;45.0324;45.0304;45.0417;44.8537;44.8575;44.8598;44.8755;44.8805;44.9311;44.945;44.9398;44.9283;44.9198;44.925;44.9099;44.9422
CY;45.3186;45.2786;45.3574;45.3967;45.386;45.3798;45.3719;45.377;45.3738;45.3682;45.3758;45.4667;45.5331;45.5579;45.589;45.588;45.5662;45.5952;45.6123;45.6074
CZ;45.4383;45.4432;45.4614;45.4845;45.5053;45.4907;45.503;45.5387;45.5287;45.5225;45.5506;45.5601;45.6958;45.7184;45.7091;45.6946;45.6542;45.6606;45.6817;45.7387
DE;45.5339;45.527;45.5311;45.5497;45.5644;45.5659;45.5648;45.6577;45.6641;45.6608;45.6506;45.649;45.656;45.6567;45.6551;45.6544;45.6379;45.6081;45.7148;45.7366
DK;45.9196;45.9286;45.9482;45.8843;45.8836;45.8979;45.9053;46.0383;46.0383;46.0501;46.0612;46.0627;45.994;45.9735;45.9504;45.9612;45.922;45.9476;45.9783;45.984
EE;45.579;45.5812;45.5994;45.5926;45.6366;45.6289;45.6506;45.731;45.712;45.7222;45.6982;45.6959;45.7323;45.7561;45.7728;45.7886;45.7735;45.7841;45.8533;45.8922
EL;44.9097;44.9311;44.9292;44.9363;44.9525;44.9511;44.945;44.9125;44.9188;44.9146;44.8592;44.848;44.9757;45.0048;44.9337;45.0672;45.0725;45.0792;45.1163;45.1157
ES;45.0542;45.1326;45.1461;45.1455;45.1253;45.1087;45.1366;45.1876;45.1943;45.212;45.2275;45.2512;45.3242;45.3479;45.3688;45.3807;45.3847;45.4368;45.5029;45.515
FI;45.8899;45.894;45.8984;45.9146;45.9085;45.8887;45.9044;45.9619;45.9745;45.9768;45.9757;45.9837;46.0194;46.0363;46.064;46.0889;46.0798;46.0956;46.0474;46.0629
FR;45.3864;45.387;45.3928;45.3984;45.4107;45.3988;45.3913;45.51;45.5197;45.6634;45.6758;45.68;45.7015;45.7042;45.7086;45.7267;45.6731;45.664;45.7939;45.7797
HR;45.165;45.1775;45.2091;45.2226;45.2285;45.2127;45.194;45.186;45.1908;45.1796;45.1987;45.2239;45.3372;45.38;45.3924;45.4278;45.4249;45.4357;45.4435;45.4163
HU;44.7685;44.7683;44.7786;44.7926;44.7925;44.7843;44.7925;45.1335;45.1289;45.1351;45.1659;45.209;45.3455;45.3525;45.3597;45.3638;45.3487;45.3759;45.4847;45.5479
IE;45.0549;45.074;45.0943;45.1029;45.0819;45.0467;45.054;45.0591;45.083;45.1114;45.1392;45.1209;45.546;45.5899;45.7133;45.7175;45.6967;45.7274;45.7222;45.7362
IT;44.9624;44.9694;44.9934;45.0032;45.007;45.0073;45.0159;45.1146;45.1293;45.12;45.142;45.1406;45.2089;45.229;45.2334;45.2547;45.2445;45.2517;45.2504;45.2514
LT;45.4804;45.5032;45.4898;45.4997;45.492;45.4673;45.4664;45.4593;45.4674;45.4793;45.4917;45.5157;45.524;45.5308;45.5504;45.5755;45.5683;45.5891;45.6264;45.6532
LU;45.7917;45.7933;45.7806;45.7849;45.7983;45.93;45.93;45.9362;45.9215;45.9479;45.9554;45.9339;45.7873;45.7745;45.797;45.8183;45.7853;45.7972;45.8296;45.8072
LV;45.505;45.496;45.488;45.484;45.4964;45.4526;45.4752;45.4798;45.5211;45.5337;45.5394;45.5459;45.6842;45.707;45.7031;45.7183;45.714;45.7374;45.778;45.7414
MT;45.0849;45.167;45.2007;45.2172;45.2462;45.2628;45.3252;45.3474;45.3748;45.4121;45.4036;45.4232;45.4631;45.5017;45.5364;45.5448;45.5309;45.5683;45.5848;45.5957
NL;45.8335;45.8074;45.8249;45.8499;45.8588;45.8573;45.8677;45.9733;45.9765;45.9883;45.9846;46.0058;46.0481;46.0678;46.0431;46.0532;46.0638;46.154;46.1935;46.2142
PL;45.1092;45.1212;45.1313;45.1488;45.1576;45.1523;45.1543;45.1563;45.1584;45.1584;45.1826;45.2067;45.2775;45.2773;45.3097;45.3109;45.3093;45.3176;45.3824;45.3919
PT;44.6938;44.7005;44.7051;44.7223;44.7458;44.788;44.8032;45.1051;45.1271;45.149;45.187;45.2335;45.2887;45.359;45.3783;45.4083;45.4242;45.4918;45.5015;45.5057
RO;44.5228;44.5571;44.5812;44.599;44.6205;44.6015;44.5649;44.5869;44.5941;44.6036;44.5772;44.5735;44.6184;44.6358;44.6375;44.637;44.6375;44.6518;44.9124;44.9117
SE;46.1993;46.0687;46.0295;46.0454;46.0785;46.0734;46.1025;46.0848;46.097;46.1211;46.1389;46.1398;46.1239;46.1318;46.1404;46.1699;46.119;46.1718;46.2415;46.2406
SI;45.7057;45.6789;45.676;45.6922;45.6837;45.6864;45.6997;45.676;45.6464;45.6344;45.6261;45.6341;45.6562;45.6812;45.6864;45.6928;45.6776;45.7854;45.8373;45.8174
SK;45.5137;45.5298;45.5405;45.5484;45.5652;45.5578;45.5471;45.502;45.493;45.486;45.4902;45.4906;45.5508;45.552;45.5871;45.586;45.5861;45.6072;45.738;45.7129
UK;45.7385;45.7466;45.7409;45.6352;45.6374;45.6463;45.667;45.5413;45.5597;45.5908;45.5517;45.6063;45.5616;45.5096;45.5261;45.5325;45.5325;45.5325;45.5325;45.5409
