--- COUNTRY --- environment ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;21.4053;21.4129;21.43;21.4214;21.4099;21.4072;21.4096;21.4141;21.4118;21.4151;21.4194;21.4148;21.4111;21.4119;21.4244;21.4064;21.4369;21.4358;21.4354;21.4354
BE;21.3595;21.3528;21.3824;21.3742;21.3916;21.4146;21.4215;21.404;21.4243;21.4112;21.4193;21.4245;21.4463;21.4514;21.4295;21.4364;21.4636;21.4638;21.4635;21.4566
BG;21.3698;21.3698;21.3699;21.3684;21.3883;21.3935;21.4352;21.4371;21.4458;21.4577;21.4461;21.4581;21.4606;21.4643;21.4706;21.4776;21.4907;21.4879;21.4873;21.4941
CY;21.3019;21.3019;21.2568;21.244;21.3189;21.3104;21.3319;21.3453;21.3805;21.3799;21.4432;21.4612;21.4735;21.4627;21.4481;21.478;21.484;21.4835;21.4832;21.4832
CZ;21.3278;21.3278;21.348;21.3628;21.3671;21.3493;21.3702;21.3862;21.4052;21.4014;21.4217;21.4202;21.4203;21.4374;21.4315;21.4394;21.4566;21.4627;21.4623;21.4552
DE;21.3296;21.3318;21.2982;21.3227;21.3201;21.3283;21.3384;21.3273;21.3293;21.3299;21.33;21.3275;21.3337;21.3199;21.3089;21.3185;21.4104;21.4102;21.4099;21.3724
DK;21.3258;21.3215;21.3032;21.3075;21.3288;21.3325;21.3413;21.3361;21.3696;21.3832;21.3769;21.3833;21.3738;21.3634;21.3632;21.353;21.3642;21.3522;21.3527;21.3778
EE;20.9074;21.1985;21.189;21.1694;21.2529;21.3381;21.3536;21.3327;21.3463;21.3673;21.3584;21.388;21.3821;21.399;21.3977;21.3984;21.4239;21.416;21.4156;21.4047
EL;21.337;21.3171;21.33;21.321;21.3089;21.2912;21.2864;21.2781;21.2753;21.2811;21.3248;21.35;21.3428;21.3364;21.3388;21.3386;21.3368;21.3376;21.3368;21.3368
ES;21.3737;21.3438;21.3575;21.3665;21.4018;21.3982;21.4366;21.4651;21.4723;21.4428;21.4564;21.4544;21.4533;21.4684;21.4469;21.4667;21.4144;21.4138;21.4139;21.4102
FI;21.3875;21.3816;21.3816;21.3773;21.3864;21.4086;21.424;21.4244;21.4259;21.4379;21.4457;21.4557;21.4602;21.4549;21.4468;21.4471;21.4439;21.4442;21.4439;21.3925
FR;21.3459;21.3813;21.3938;21.3912;21.4091;21.4142;21.4157;21.4237;21.4352;21.4384;21.436;21.4348;21.4211;21.4299;21.4141;21.419;21.3842;21.3833;21.3829;21.3829
HR;21.3906;21.3906;21.3906;21.3906;21.3906;21.3948;21.3963;21.4233;21.4419;21.4594;21.4793;21.4856;21.4823;21.4858;21.4876;21.4911;21.49;21.49;21.4895;21.4895
HU;21.3859;21.3875;21.4376;21.4486;21.4755;21.4707;21.4823;21.4862;21.4884;21.4601;21.4508;21.4521;21.4717;21.4796;21.507;21.4873;21.4947;21.4946;21.4944;21.4944
