--- COUNTRY --- governance ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;25.3041;25.3041;25.3041;25.3041;25.3069;25.3217;25.2887;25.2925;25.2975;25.2978;25.3016;25.3038;25.3417;25.3495;25.3476;25.3799;25.3875;25.3886;25.3861;25.3829
BE;25.3785;25.3611;25.384;25.4114;25.4474;25.3555;25.3661;25.3691;25.4127;25.4348;25.3898;25.4068;25.4085;25.4196;25.4358;25.4042;25.4304;25.3731;25.4538;25.4709
BG;25.0056;25.0056;25.0056;25.0056;25.0046;25.0369;25.0478;25.0739;25.0668;25.0555;25.0412;25.0316;25.0301;25.0332;25.0391;25.0271;25.0335;24.9788;24.9559;24.9633
CY;25.1991;25.1991;25.1991;25.1991;25.213;25.1928;25.2068;25.1982;25.2041;25.202;25.179;25.1812;25.1574;25.1642;25.0973;25.0954;25.0933;25.1175;25.1227;25.14
CZ;25.0192;25.0192;25.0192;25.0192;25.0045;25.0059;25.0275;25.0247;25.028;25.0264;24.9796;24.9845;24.9933;24.9988;25.0066;25.0597;25.0734;25.0987;25.0965;25.1064
DE;25.289;25.2746;25.2937;25.3165;25.3472;25.2609;25.2738;25.2715;25.2988;25.319;25.2866;25.3036;25.3142;25.3382;25.3445;25.3536;25.3829;25.328;25.3936;25.4064
DK;25.4393;25.4242;25.4441;25.4711;25.5064;25.455;25.4663;25.4626;25.4954;25.5102;25.4482;25.4608;25.4698;25.484;25.4442;25.4377;25.4619;25.4039;25.4868;25.4982
EE;25.1565;25.1442;25.1605;25.1802;25.2258;25.2177;25.2242;25.2046;25.2221;25.2282;25.1655;25.1865;25.1985;25.2176;25.2303;25.2095;25.2399;25.195;25.2429;25.257
EL;25.0437;25.0251;25.0604;25.0173;25.0425;25.0264;25.0833;25.0838;25.1097;25.0639;25.1056;25.1162;25.1003;25.1288;25.1096;25.103;25.093;25.0825;25.1208;25.1471
ES;25.1302;25.1157;25.1349;25.1579;25.199;25.118;25.1381;25.1241;25.1557;25.174;25.1372;25.1546;25.1477;25.163;25.1772;25.2161;25.2431;25.1833;25.2278;25.2379
FI;25.5305;25.5305;25.5305;25.5305;25.5289;25.5304;25.5286;25.5355;25.5361;25.5403;25.543;25.5465;25.5409;25.5401;25.5359;25.5483;25.5477;25.5567;25.8861;25.8965
FR;25.3582;25.3582;25.3609;25.3656;25.3683;25.3748;25.3731;25.3716;25.3578;25.362;25.3713;25.3718;25.3691;25.3312;25.3429;25.3673;25.3716;25.3532;25.2449;25.2464
HR;25.0854;25.0854;25.0854;25.0854;25.0854;25.0724;25.0898;25.0757;25.0831;25.0848;25.0854;25.1218;25.0914;25.0825;25.0948;25.0952;25.0888;25.1006;25.0731;25.0831
HU;25.2027;25.189;25.2071;25.2288;25.2514;25.1744;25.1827;25.1743;25.1922;25.2061;25.1454;25.1603;25.1634;25.1551;25.1767;25.1757;25.2001;25.1497;25.2066;25.2239
IE;25.3128;25.3128;25.3128;25.3128;25.338;25.3359;25.3363;25.3484;25.3526;25.3385;25.3152;25.312;25.3028;25.3017;25.2963;25.2917;25.2912;25.2951;25.2506;25.2559
IT;25.2201;25.2038;25.2253;25.2511;25.281;25.1795;25.1959;25.1941;25.2314;25.2391;25.1781;25.1889;25.1932;25.2071;25.208;25.1812;25.2032;25.1439;25.1558;25.1715
LT;25.2036;25.2036;25.2036;25.2036;25.215;25.1734;25.197;25.1887;25.1914;25.1828;25.2611;25.2568;25.2533;25.2536;25.2204;25.2448;25.2393;25.2519;25.2511;25.2439
LU;25.4689;25.4515;25.4745;25.5019;25.5412;25.4498;25.4664;25.4727;25.5225;25.5423;25.4878;25.5115;25.524;25.5595;25.5703;25.5326;25.57;25.5099;25.624;25.6353
LV;25.2463;25.2327;25.2506;25.2722;25.3107;25.261;25.2696;25.2513;25.2683;25.2707;25.1515;25.1576;25.1606;25.1618;25.1559;25.1388;25.1505;25.1371;25.1765;25.1868
MT;25.3087;25.2916;25.3142;25.3412;25.37;25.2811;25.3014;25.304;25.352;25.3802;25.3233;25.3362;25.3436;25.3541;25.3299;25.3056;25.3546;25.3156;25.3961;25.4076
NL;25.4326;25.4183;25.4372;25.4598;25.4923;25.4111;25.4241;25.4196;25.4542;25.4744;25.4266;25.4441;25.4513;25.4786;25.482;25.4749;25.5001;25.4457;25.4546;25.4679
PL;25.0426;25.0426;25.0426;25.0677;25.0863;25.1192;25.1526;25.1366;25.132;25.1273;25.1219;25.1202;25.1191;25.1164;25.1136;25.2063;25.2475;25.2509;25.2132;25.2418
PT;25.1641;25.1641;25.1641;25.1641;25.1605;25.1424;25.1324;25.1042;25.1038;25.116;25.0957;25.0869;25.1022;25.1151;25.1269;25.0918;25.0954;25.0698;25.0739;25.0732
RO;25.1652;25.1652;25.1652;25.1652;25.146;25.1389;25.1316;25.1318;25.149;25.1592;25.1727;25.166;25.1605;25.1723;25.1775;25.2172;25.2037;25.2021;25.1934;25.192
SE;25.5378;25.5235;25.5423;25.5649;25.6;25.5526;25.5636;25.5616;25.5958;25.6125;25.5868;25.5995;25.609;25.6241;25.6073;25.5899;25.6135;25.5632;25.5336;25.5524
SI;25.1662;25.1662;25.1662;25.1662;25.175;25.2;25.1926;25.1867;25.1613;25.1464;25.1065;25.0967;25.1075;25.0956;25.0679;25.0936;25.1212;25.1136;25.122;25.1261
SK;24.9431;24.9431;24.9431;24.9431;24.9582;24.9571;24.9864;24.9805;24.9749;24.9917;24.9516;24.9511;24.9584;24.9618;24.9588;25.0153;25.0404;25.0336;25.0421;25.0468
UK;25.3078;25.2944;25.3148;25.3408;25.3667;25.2686;25.2741;25.2799;25.3063;25.3272;25.2876;25.2988;25.3048;25.3195;25.3267;25.3049;25.3258;25.2743;25.3365;25.3527
