--- COUNTRY --- health ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;76.3038;76.3104;76.343;76.3728;76.365;76.3945;76.3803;76.398;76.4322;76.4143;76.4125;76.4225;76.3941;76.384;76.3968;76.3212;76.3632;76.3716;76.3489;76.3492
BE;76.1706;76.2002;76.213;76.1811;76.1897;76.196;76.1922;76.1754;76.1864;76.1608;76.1622;76.14;76.2074;76.2014;76.2056;76.183;76.2121;76.2248;76.2108;76.2096
BG;75.3499;75.4262;75.4123;75.4671;75.4548;75.5531;75.5774;75.5811;75.6265;75.6712;75.7245;75.7522;75.8154;75.8229;75.8624;76.0398;76.0178;75.9959;76.0236;76.0034
CY;75.4262;75.4278;75.4515;75.4703;75.4798;75.4573;75.3699;75.3576;75.3874;75.394;75.5045;75.6361;75.6813;75.6093;75.5656;75.5959;75.6047;75.6248;75.6341;75.6342
CZ;76.0533;76.05;76.039;76.0568;76.0403;76.0434;76.0877;76.0423;76.0439;75.9996;76.012;76.0059;76;75.9861;76.015;75.9;75.898;75.949;75.9478;75.9398
DE;76.3051;76.3084;76.335;76.3458;76.3803;76.4222;76.4629;76.4894;76.5008;76.5095;76.5164;76.5461;76.5481;76.5329;76.5343;76.6295;76.6248;76.615;76.6503;76.6509
DK;76.0828;76.0904;76.073;76.0475;76.0179;75.9976;76.0273;75.9548;75.9643;75.9661;75.8791;75.819;75.8477;75.8492;75.8596;75.7956;75.7793;75.7344;75.6938;75.6785
EE;75.3052;75.2768;75.3137;75.3206;75.3977;75.3561;75.3153;75.3005;75.3243;75.1931;75.1667;75.1689;75.1734;75.1797;75.111;75.2967;75.3509;75.3347;75.3316;75.304
EL;75.7426;75.7787;75.8229;75.8376;75.8422;75.8773;75.8135;75.8045;75.7672;75.72;75.6856;75.6789;75.6789;75.7174;75.7468;75.8339;75.8465;75.8303;75.788;75.788
ES;75.3663;75.3745;75.3944;75.3926;75.4374;75.4445;75.4966;75.5729;75.5345;75.4722;75.5035;75.5127;75.5307;75.5841;75.5532;75.7056;75.6431;75.6003;75.5854;75.5932
