--- COUNTRY --- interactions ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;25.5486;25.5486;25.5486;25.5486;25.5486;25.5486;25.5486;25.5486;25.5486;25.5486;25.5486;25.5435;25.5435;25.5435;25.5454;25.5454;25.5454;25.5454;25.5454;25.5454
BE;25.3874;25.3874;25.3874;25.3874;25.3874;25.3874;25.3874;25.3874;25.3874;25.3874;25.3874;25.3982;25.3982;25.3982;25.4376;25.4376;25.4376;25.4376;25.4376;25.4376
BG;24.931;24.931;24.931;24.931;24.931;24.931;24.931;24.931;24.931;24.931;24.931;24.9733;24.9733;24.9733;25.0791;25.0791;25.0791;25.0791;25.0791;25.0791
CY;25.4027;25.4027;25.4027;25.4027;25.4027;25.4027;25.4027;25.4027;25.4027;25.4027;25.4027;25.4352;25.4352;25.4352;25.5115;25.5115;25.5115;25.5115;25.5115;25.5115
CZ;25.3623;25.3623;25.3623;25.3623;25.3623;25.3623;25.3623;25.3623;25.3623;25.3623;25.3623;25.3958;25.3958;25.3958;25.4275;25.4275;25.4275;25.4275;25.4275;25.4275
DE;25.3145;25.3145;25.3145;25.3145;25.3145;25.3145;25.3145;25.3145;25.3145;25.3145;25.3145;25.3601;25.3601;25.3601;25.3724;25.3724;25.3724;25.3724;25.3724;25.3724
DK;25.4081;25.4081;25.4081;25.4081;25.4081;25.4081;25.4081;25.4081;25.4081;25.4081;25.4081;25.4117;25.4117;25.4117;25.3964;25.3964;25.3964;25.3964;25.3964;25.3964
EE;25.2236;25.2236;25.2236;25.2236;25.2236;25.2236;25.2236;25.2236;25.2236;25.2236;25.2236;25.2129;25.2129;25.2129;25.252;25.252;25.252;25.252;25.252;25.252
EL;25.1032;25.1032;25.1032;25.1032;25.1032;25.1032;25.1032;25.1032;25.1032;25.1032;25.1032;25.2635;25.2635;25.2635;25.2863;25.2863;25.2863;25.2863;25.2863;25.2863
ES;25.4225;25.4225;25.4225;25.4225;25.4225;25.4225;25.4225;25.4225;25.4225;25.4225;25.4225;25.427;25.427;25.427;25.513;25.513;25.513;25.513;25.513;25.513
FI;25.5583;25.5583;25.5583;25.5583;25.5583;25.5583;25.5583;25.5583;25.5583;25.5583;25.5583;25.5603;25.5603;25.5603;25.5918;25.5918;25.5918;25.5918;25.5918;25.5918
FR;25.2637;25.2637;25.2637;25.2637;25.2637;25.2637;25.2637;25.2637;25.2637;25.2637;25.2637;25.2546;25.2546;25.2546;25.2809;25.2809;25.2809;25.2809;25.2809;25.2809
HR;25.0949;25.0949;25.0949;25.0949;25.0949;25.0949;25.0949;25.0949;25.0949;25.0949;25.0949;25.1917;25.1917;25.1917;25.2144;25.2144;25.2144;25.2144;25.2144;25.2144
HU;25.2689;25.2689;25.2689;25.2689;25.2689;25.2689;25.2689;25.2689;25.2689;25.2689;25.2689;25.282;25.282;25.282;25.2813;25.2813;25.2813;25.2813;25.2813;25.2813
IE;25.545;25.545;25.545;25.545;25.545;25.545;25.545;25.545;25.545;25.545;25.545;25.5445;25.5445;25.5445;25.5464;25.5464;25.5464;25.5464;25.5464;25.5464
IT;25.2149;25.2149;25.2149;25.2149;25.2149;25.2149;25.2149;25.2149;25.2149;25.2149;25.2149;25.2272;25.2272;25.2272;25.252;25.252;25.252;25.252;25.252;25.252
LT;25.1876;25.1876;25.1876;25.1876;25.1876;25.1876;25.1876;25.1876;25.1876;25.1876;25.1876;25.204;25.204;25.204;25.2081;25.2081;25.2081;25.2081;25.2081;25.2081
LU;25.3266;25.3266;25.3266;25.3266;25.3266;25.3266;25.3266;25.3266;25.3266;25.3266;25.3266;25.3431;25.3431;25.3431;25.2915;25.2915;25.2915;25.2915;25.2915;25.2915
LV;25.1842;25.1842;25.1842;25.1842;25.1842;25.1842;25.1842;25.1842;25.1842;25.1842;25.1842;25.2075;25.2075;25.2075;25.1489;25.1489;25.1489;25.1489;25.1489;25.1489
MT;25.4263;25.4263;25.4263;25.4263;25.4263;25.4263;25.4263;25.4263;25.4263;25.4263;25.4263;25.4427;25.4427;25.4427;25.4718;25.4718;25.4718;25.4718;25.4718;25.4718
NL;25.4863;25.4863;25.4863;25.4863;25.4863;25.4863;25.4863;25.4863;25.4863;25.4863;25.4863;25.4693;25.4693;25.4693;25.4096;25.4096;25.4096;25.4096;25.4096;25.4096
PL;25.1199;25.1199;25.1199;25.1199;25.1199;25.1199;25.1199;25.1199;25.1199;25.1199;25.1199;25.1383;25.1383;25.1383;25.1472;25.1472;25.1472;25.1472;25.1472;25.1472
PT;25.3073;25.3073;25.3073;25.3073;25.3073;25.3073;25.3073;25.3073;25.3073;25.3073;25.3073;25.3251;25.3251;25.3251;25.371;25.371;25.371;25.371;25.371;25.371
RO;25.1417;25.1417;25.1417;25.1417;25.1417;25.1417;25.1417;25.1417;25.1417;25.1417;25.1417;25.1688;25.1688;25.1688;25.1802;25.1802;25.1802;25.1802;25.1802;25.1802
SE;25.5275;25.5275;25.5275;25.5275;25.5275;25.5275;25.5275;25.5275;25.5275;25.5275;25.5275;25.5341;25.5341;25.5341;25.602;25.602;25.602;25.602;25.602;25.602
SI;25.4706;25.4706;25.4706;25.4706;25.4706;25.4706;25.4706;25.4706;25.4706;25.4706;25.4706;25.4721;25.4721;25.4721;25.51;25.51;25.51;25.51;25.51;25.51
SK;25.3256;25.3256;25.3256;25.3256;25.3256;25.3256;25.3256;25.3256;25.3256;25.3256;25.3256;25.3337;25.3337;25.3337;25.3947;25.3947;25.3947;25.3947;25.3947;25.3947
UK;25.5414;25.5414;25.5414;25.5414;25.5414;25.5414;25.5414;25.5414;25.5414;25.5414;25.5414;25.5496;25.5496;25.5496;25.5465;25.5465;25.5465;25.5465;25.5465;25.5465
