--- COUNTRY --- leisureInteractions ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;50.6105;50.6105;50.6105;50.6105;50.6105;50.6105;50.6105;50.6105;50.6105;50.6105;50.6105;50.6326;50.6326;50.6326;50.6345;50.6345;50.6345;50.6345;50.6345;50.6345
BE;50.2295;50.2295;50.2295;50.2295;50.2295;50.2295;50.2295;50.2295;50.2295;50.2295;50.2295;50.2352;50.2352;50.2352;50.2745;50.2745;50.2745;50.2745;50.2745;50.2745
BG;49.1185;49.1185;49.1185;49.1185;49.1185;49.1185;49.1185;49.1185;49.1185;49.1185;49.1185;49.1874;49.1874;49.1874;49.2932;49.2932;49.2932;49.2932;49.2932;49.2932
CY;49.907;49.907;49.907;49.907;49.907;49.907;49.907;49.907;49.907;49.907;49.907;49.9145;49.9145;49.9145;49.9908;49.9908;49.9908;49.9908;49.9908;49.9908
CZ;50.0924;50.0924;50.0924;50.0924;50.0924;50.0924;50.0924;50.0924;50.0924;50.0924;50.0924;50.1699;50.1699;50.1699;50.2017;50.2017;50.2017;50.2017;50.2017;50.2017
DE;50.1951;50.1951;50.1951;50.1951;50.1951;50.1951;50.1951;50.1951;50.1951;50.1951;50.1951;50.2099;50.2099;50.2099;50.2221;50.2221;50.2221;50.2221;50.2221;50.2221
DK;50.76;50.76;50.76;50.76;50.76;50.76;50.76;50.76;50.76;50.76;50.76;50.777;50.777;50.777;50.7616;50.7616;50.7616;50.7616;50.7616;50.7616
EE;50.0041;50.0041;50.0041;50.0041;50.0041;50.0041;50.0041;50.0041;50.0041;50.0041;50.0041;50.0382;50.0382;50.0382;50.0773;50.0773;50.0773;50.0773;50.0773;50.0773
EL;49.5465;49.5465;49.5465;49.5465;49.5465;49.5465;49.5465;49.5465;49.5465;49.5465;49.5465;49.7121;49.7121;49.7121;49.7348;49.7348;49.7348;49.7348;49.7348;49.7348
ES;50.0154;50.0154;50.0154;50.0154;50.0154;50.0154;50.0154;50.0154;50.0154;50.0154;50.0154;49.9933;49.9933;49.9933;50.0793;50.0793;50.0793;50.0793;50.0793;50.0793
FI;51.0322;51.0322;51.0322;51.0322;51.0322;51.0322;51.0322;51.0322;51.0322;51.0322;51.0322;51.0498;51.0498;51.0498;51.0813;51.0813;51.0813;51.0813;51.0813;51.0813
FR;50.1534;50.1534;50.1534;50.1534;50.1534;50.1534;50.1534;50.1534;50.1534;50.1534;50.1534;50.1786;50.1786;50.1786;50.2049;50.2049;50.2049;50.2049;50.2049;50.2049
HR;49.6468;49.6468;49.6468;49.6468;49.6468;49.6468;49.6468;49.6468;49.6468;49.6468;49.6468;49.7437;49.7437;49.7437;49.7664;49.7664;49.7664;49.7664;49.7664;49.7664
HU;49.6979;49.6979;49.6979;49.6979;49.6979;49.6979;49.6979;49.6979;49.6979;49.6979;49.6979;49.7085;49.7085;49.7085;49.7077;49.7077;49.7077;49.7077;49.7077;49.7077
IE;50.6321;50.6321;50.6321;50.6321;50.6321;50.6321;50.6321;50.6321;50.6321;50.6321;50.6321;50.6424;50.6424;50.6424;50.6443;50.6443;50.6443;50.6443;50.6443;50.6443
IT;49.7049;49.7049;49.7049;49.7049;49.7049;49.7049;49.7049;49.7049;49.7049;49.7049;49.7049;49.6851;49.6851;49.6851;49.7099;49.7099;49.7099;49.7099;49.7099;49.7099
LT;49.801;49.801;49.801;49.801;49.801;49.801;49.801;49.801;49.801;49.801;49.801;49.8608;49.8608;49.8608;49.8649;49.8649;49.8649;49.8649;49.8649;49.8649
LU;50.4814;50.4814;50.4814;50.4814;50.4814;50.4814;50.4814;50.4814;50.4814;50.4814;50.4814;50.5171;50.5171;50.5171;50.4655;50.4655;50.4655;50.4655;50.4655;50.4655
LV;49.8327;49.8327;49.8327;49.8327;49.8327;49.8327;49.8327;49.8327;49.8327;49.8327;49.8327;49.915;49.915;49.915;49.8564;49.8564;49.8564;49.8564;49.8564;49.8564
MT;49.8795;49.8795;49.8795;49.8795;49.8795;49.8795;49.8795;49.8795;49.8795;49.8795;49.8795;49.9266;49.9266;49.9266;49.9557;49.9557;49.9557;49.9557;49.9557;49.9557
NL;50.9109;50.9109;50.9109;50.9109;50.9109;50.9109;50.9109;50.9109;50.9109;50.9109;50.9109;50.9256;50.9256;50.9256;50.8659;50.8659;50.8659;50.8659;50.8659;50.8659
PL;50.0337;50.0337;50.0337;50.0337;50.0337;50.0337;50.0337;50.0337;50.0337;50.0337;50.0337;50.0757;50.0757;50.0757;50.0846;50.0846;50.0846;50.0846;50.0846;50.0846
PT;49.9693;49.9693;49.9693;49.9693;49.9693;49.9693;49.9693;49.9693;49.9693;49.9693;49.9693;50.0206;50.0206;50.0206;50.0665;50.0665;50.0665;50.0665;50.0665;50.0665
RO;49.2781;49.2781;49.2781;49.2781;49.2781;49.2781;49.2781;49.2781;49.2781;49.2781;49.2781;49.3053;49.3053;49.3053;49.3166;49.3166;49.3166;49.3166;49.3166;49.3166
SE;50.9815;50.9815;50.9815;50.9815;50.9815;50.9815;50.9815;50.9815;50.9815;50.9815;50.9815;50.9987;50.9987;50.9987;51.0667;51.0667;51.0667;51.0667;51.0667;51.0667
SI;50.5911;50.5911;50.5911;50.5911;50.5911;50.5911;50.5911;50.5911;50.5911;50.5911;50.5911;50.6376;50.6376;50.6376;50.6755;50.6755;50.6755;50.6755;50.6755;50.6755
