--- COUNTRY --- livingConditions ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;67.6774;67.6822;67.6732;67.6603;67.5929;67.6165;67.6543;67.6553;67.6545;67.6208;67.628;67.6219;67.6274;67.6165;67.6408;67.619;67.6238;67.5973;67.5896;67.5746
BE;67.6437;67.6653;67.6676;67.6528;67.593;67.6234;67.5898;67.6219;67.6354;67.6767;67.6679;67.652;67.626;67.5731;67.557;67.5649;67.5923;67.6147;67.6205;67.6241
BG;65.0105;65.0046;64.9963;65.0486;65.2758;65.3675;65.3885;65.3887;65.3719;65.3927;65.5148;65.5424;65.5524;65.6409;65.7496;65.8474;65.9326;66.0261;66.0613;66.1955
CY;67.1951;67.1799;67.1982;67.2913;67.2305;67.2174;67.1697;67.1806;67.189;67.0016;66.9609;66.9328;66.9578;67.0985;67.1277;67.2206;67.2298;67.2322;67.228;67.2237
CZ;66.4628;66.4519;66.4704;66.5597;66.6063;66.6648;66.719;66.7388;66.7216;66.7555;66.774;66.8389;66.8983;66.9565;67.0794;67.1172;67.1397;67.1023;67.1056;67.1085
DE;67.5358;67.5202;67.4587;67.5854;67.5409;67.5211;67.5361;67.5473;67.5714;67.5698;67.5843;67.5759;67.5765;67.588;67.6422;67.6348;67.6429;67.5752;67.5204;67.4923
DK;67.8042;67.8147;67.7979;67.7867;67.7934;67.7695;67.7898;67.7931;67.7804;67.7639;67.776;67.7542;67.7717;67.7625;67.7698;67.7705;67.7759;67.796;67.7652;67.72
EE;65.9976;66.0869;66.156;66.2435;66.3215;66.2736;66.2514;66.5142;66.5514;66.5412;66.6909;66.7649;66.8098;66.8502;66.9228;66.9384;66.9954;66.9839;67.0012;66.8936
EL;66.3361;66.3062;66.2856;66.2915;66.2866;66.3093;66.3121;66.1854;65.977;65.8527;65.8543;65.8267;65.8194;65.8354;65.9059;65.9611;65.9583;65.9294;65.9892;65.9824
ES;66.9508;67.1147;67.1658;67.1881;67.245;67.2236;67.1786;67.1456;67.1325;67.0569;67.025;67.0684;67.0647;67.1807;67.1986;67.2147;67.1191;67.1309;67.15;67.1613
FI;67.6636;67.6869;67.7115;67.7118;67.7194;67.7274;67.7413;67.7342;67.7575;67.7713;67.7333;67.7186;67.7077;67.6959;67.7037;67.7043;67.7075;67.6789;67.6589;67.6545
