--- COUNTRY --- mainActivity ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;62.0393;62.1032;62.1301;62.1723;62.2288;62.2149;62.2397;62.2574;62.2909;62.2863;62.3086;62.3099;62.3278;62.3386;62.3696;62.4065;62.3826;62.4164;62.4768;62.4698
BE;61.869;61.8833;61.9028;61.9276;61.9446;61.9537;61.9577;61.9767;62.0049;62.0067;62.0385;62.0592;62.079;62.1057;62.1127;62.1494;62.1611;62.1825;62.2435;62.2379
BG;60.9968;60.9601;61.0596;61.1553;61.256;61.243;61.1636;61.1142;61.0457;61.0882;61.1458;61.2326;61.2951;61.3236;61.3804;61.4502;61.4112;61.4484;61.508;61.5249
CY;61.4352;61.401;61.3791;61.4447;61.4408;61.3984;61.3843;61.2665;61.1705;61.0902;61.0445;61.0229;61.0625;61.1252;61.2122;61.3129;61.3188;61.4125;61.4128;61.4094
CZ;61.6847;61.7785;61.8149;61.8575;61.8762;61.8598;61.8421;61.8545;61.8875;61.9255;61.9315;61.9769;62.0131;62.0859;62.1734;62.1976;62.2152;62.1796;62.1984;62.1855
DE;61.8486;61.8488;61.8696;61.9083;61.9339;61.955;61.9677;62.0428;62.0666;62.0787;62.0981;62.1278;62.1542;62.2017;62.2403;62.2761;62.279;62.2942;62.3285;62.3221
DK;62.3374;62.3377;62.3781;62.4232;62.5242;62.4629;62.4345;62.4279;62.4083;62.3989;62.4169;62.4455;62.469;62.4531;62.4381;62.4779;62.4611;62.4784;62.565;62.5596
EE;61.6753;61.7025;61.7663;61.8325;61.8508;61.7346;61.6726;61.748;61.8034;61.8402;61.877;61.9017;61.934;61.9883;62.0713;62.0941;62.0745;62.06;62.1587;62.1491
EL;61.3058;61.3206;61.3844;61.3989;61.4133;61.3588;61.305;61.2104;61.0964;61.0536;60.9878;61.041;61.0194;61.1025;61.1565;61.2267;61.2761;61.392;61.5362;61.5379
ES;61.3711;61.3539;61.376;61.4071;61.3875;61.2792;61.2008;61.1298;61.0517;61.0089;61.014;61.0513;61.0976;61.1457;61.2675;61.3053;61.3056;61.3358;61.4153;61.4104
FI;62.304;62.3013;62.3114;62.3314;62.3355;62.2972;62.276;62.2667;62.282;62.2657;62.237;62.1982;62.1555;62.1946;62.2343;62.2713;62.2814;62.3292;62.3881;62.3867
FR;61.7602;61.7572;61.7646;61.7754;61.7708;61.7766;61.7755;61.7851;61.7889;61.7802;61.7385;61.7338;61.7416;61.7619;61.7982;61.8351;61.8469;61.9421;61.9758;61.9739
HR;61.5219;61.4683;61.4674;61.5319;61.5653;61.5645;61.5131;61.4576;61.4337;61.4007;61.3967;61.4051;61.4189;61.4378;61.5309;61.6177;61.6599;61.6527;61.6988;61.6997
HU;61.4932;61.4987;61.5083;61.4981;61.5021;61.4759;61.4566;61.4587;61.4835;61.5001;61.574;61.6261;61.7022;61.7843;61.9554;62.0044;62.0285;62.0567;62.1138;62.1174
IE;61.7913;61.824;61.8463;61.8878;61.8726;61.7354;61.6307;61.6011;61.6815;61.7369;61.7851;61.8159;61.9163;61.9663;62.056;62.0958;62.1107;62.1764;62.2493;62.2315
IT;61.4519;61.448;61.4924;61.5121;61.5121;61.4738;61.4241;61.4001;61.3699;61.3236;61.3138;61.3311;61.3886;61.4362;61.4393;61.4649;61.4583;61.4721;61.5249;61.5251
LT;61.4785;61.535;61.6377;61.731;61.7456;61.6248;61.5524;61.576;61.6187;61.6678;61.7402;61.7469;61.788;61.8314;61.8881;61.9242;61.9029;61.9536;62.002;61.9957
LU;62.2143;62.1958;62.1958;62.2561;62.2155;62.2299;62.2605;62.2553;62.1932;62.2245;62.2251;62.1935;62.2116;62.2137;62.1535;62.1781;62.1841;62.1885;62.2032;62.1922
LV;61.3391;61.403;61.4818;61.5862;61.5784;61.3353;61.3428;61.3786;61.4234;61.4797;61.5506;61.5949;61.5737;61.6236;61.6926;61.7756;61.7873;61.7207;61.7482;61.7472
MT;61.4208;61.4518;61.4533;61.5047;61.5362;61.5333;61.5304;61.6155;61.6428;61.6599;61.7078;61.7077;61.7737;61.8143;61.8365;61.8588;61.8956;61.9265;61.9805;61.9696
NL;61.972;61.9314;61.9492;61.9631;61.9814;61.9439;61.9919;62.0479;62.048;62.0706;62.0482;62.0803;62.1005;62.1338;62.1584;62.196;62.2183;62.2944;62.3489;62.3426
PL;61.2648;61.285;61.3181;61.4002;61.4572;61.4514;61.4488;61.4457;61.4384;61.4246;61.4605;61.505;61.5656;61.6882;61.7522;61.7872;61.8342;61.8822;61.9244;61.9327
PT;61.4511;61.4306;61.465;61.475;61.5497;61.5382;61.5164;61.5163;61.4564;61.4152;61.4641;61.4875;61.5336;61.6153;61.7136;61.7638;61.7839;61.8222;61.8743;61.8698
RO;61.2173;61.224;61.225;61.245;61.2625;61.2527;61.2623;61.27;61.2772;61.2624;61.2742;61.2678;61.282;61.3347;61.39;61.392;61.3925;61.2718;61.3355;61.3354
SE;62.208;62.2153;62.2334;62.2171;62.2385;62.1914;62.1687;62.1867;62.198;62.1915;62.2031;62.2091;62.2618;62.2619;62.2947;62.2968;62.2963;62.3688;62.4232;62.4196
SI;61.7715;61.8373;61.8871;61.9247;61.9629;61.9783;61.9742;62.0093;61.9877;61.979;61.9711;61.9454;61.9585;62.0322;62.137;62.194;62.19;62.2018;62.2346;62.2325
SK;61.4196;61.3655;61.4073;61.4528;61.422;61.418;61.3732;61.3867;61.3454;61.3295;61.3421;61.3887;61.4071;61.471;61.5504;61.5733;61.636;61.6651;61.6986;61.6989
UK;61.9403;61.9345;61.9349;61.9357;61.9332;61.9262;61.9097;61.8626;61.8918;61.9065;61.9515;61.9793;62.0025;62.0442;62.1079;62.1376;62.1413;62.1407;62.143;62.143
