--- COUNTRY --- safety ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;28.3318;28.2154;28.2084;28.1257;28.0674;28.0469;28.0796;28.0998;28.158;28.1485;28.1232;28.1276;28.1302;28.141;28.168;28.1995;28.2591;28.2662;28.2559;28.1711
BE;27.6531;27.7314;27.7137;27.6448;27.6358;27.6164;27.6019;27.6495;27.6453;27.6585;27.7136;27.7235;27.7126;27.7334;27.7524;27.7472;27.8487;27.8445;27.8346;27.8284
BG;23.0569;22.9616;22.9131;22.6937;23.5479;23.6325;23.65;23.7396;23.6329;23.8354;24.3149;24.2836;24.3489;24.3832;24.8413;24.8222;24.8492;25.1745;25.0807;25.0586
CY;25.8867;25.9475;25.9228;25.9972;26.2101;26.0716;25.7554;25.68;25.665;25.5713;25.4621;25.5305;25.8082;25.9073;25.9052;26.0609;26.2966;26.279;26.3849;26.3851
CZ;25.9597;26.0105;26.0924;26.2365;26.2359;26.2508;26.2686;26.2515;26.2439;26.2574;26.3052;26.4035;26.4839;26.6102;26.6956;26.8001;26.9042;26.9787;26.9811;26.947
DE;28.0938;28.0257;27.6595;27.698;27.6568;27.6679;27.7092;27.7116;27.734;27.7049;27.7309;27.7624;27.8343;27.8656;27.9106;27.9541;27.8084;27.865;27.8345;27.7731
DK;27.8895;27.7834;27.797;28.0797;27.9207;27.8931;27.961;27.9353;27.9279;28.0319;28.0243;28.0427;27.9717;28.0189;27.9865;28.0086;27.9625;27.9787;27.9585;27.9209
EE;24.8855;24.7296;25.054;25.2523;25.5454;25.5066;25.2807;25.2445;25.2548;25.3465;25.4683;25.6945;25.8724;25.8435;25.9401;26.0346;26.2297;26.2392;26.178;26.2035
EL;26.659;26.6307;26.8717;26.9447;27.0857;26.9667;26.7519;26.5921;26.3377;25.9566;25.9179;25.8916;25.9207;25.8983;25.9285;25.9272;25.8577;25.9615;25.854;25.7731
ES;26.6927;26.7977;26.8453;26.8774;26.8976;26.76;26.7214;26.8113;26.7197;26.6925;26.7279;26.8222;26.8547;26.9374;26.923;26.9993;26.848;26.8749;26.853;26.8278
FI;27.4912;27.3446;27.4494;27.5405;27.5098;27.528;27.6431;27.6514;27.6848;27.7014;27.762;27.7618;27.7871;27.8204;27.815;27.8014;27.7768;27.785;27.7936;27.6873
FR;27.6572;27.7323;27.7665;27.7301;27.6906;27.6612;27.6748;27.7194;27.7283;27.7344;27.7431;27.7588;27.7857;27.8029;27.7455;27.7723;27.7185;27.7298;27.6708;27.671
HR;25.4623;25.3671;25.2782;25.1826;25.0625;25.0636;25.0462;24.9925;24.9225;24.981;25.0793;25.2028;25.3748;25.499;25.6474;25.7302;25.7809;25.8424;25.8836;25.9885
HU;25.4646;25.5687;25.7767;25.3428;25.3944;24.9545;25.0149;25.0354;24.79;24.7835;24.7174;24.9002;25.486;25.8175;25.8559;25.8177;25.7511;25.7757;25.7991;25.8205
IE;27.0254;27.0449;26.8274;26.8218;26.7998;26.6477;26.7071;26.5096;26.452;26.3503;26.3119;26.4339;26.5679;26.66;26.7102;26.6951;26.6608;26.716;26.6357;26.6368
IT;27.6708;27.6333;27.6419;27.548;27.5296;27.48;27.5529;27.4237;27.3329;27.2877;27.2323;27.1901;27.3091;27.4148;27.4807;27.5677;27.6068;27.583;27.5933;27.5933
LT;24.0686;24.1622;24.5542;25.2209;25.5079;25.3078;25.001;25.0046;25.0789;25.1063;25.2459;25.3199;25.3567;25.4765;25.7104;25.8924;26.0866;26.2061;26.1649;26.165
LU;28.9156;28.8418;28.9095;28.7899;28.8032;28.6759;28.5972;28.6327;28.5862;28.6374;28.5823;28.6154;28.6292;28.716;28.7512;28.7198;28.6103;28.591;28.5988;28.6004
