--- COUNTRY --- education ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AT;37.0801;37.0893;37.1046;37.0718;37.1308;37.1977;37.2116;37.3173;37.3889;37.3833;37.4239;37.4566;37.8145;37.8882;37.8523;37.8247;37.5767;37.7949;37.8824;37.9783
BE;36.2505;36.1833;36.1456;36.1125;36.1019;36.1243;36.1513;35.9169;35.8507;35.8673;35.9728;35.9063;36.4452;36.6607;36.6822;36.6531;36.5678;36.9605;36.9074;37.0605
BG;33.0252;33.0812;33.4106;33.5135;33.5426;33.5168;33.5393;32.8458;32.9104;33.0711;33.1504;33.1162;33.3711;33.4637;33.5465;33.2315;33.0617;33.2042;33.0157;33.0464
CY;35.9713;35.5033;35.881;36.1372;36.1462;36.098;36.0727;36.0715;36.0527;35.9888;35.9874;36.2544;36.3848;36.4404;36.4866;36.3799;36.1302;36.8279;36.8873;36.9126
CZ;35.9258;35.8333;35.9342;35.9807;36.2825;36.1498;36.2562;36.6796;36.627;36.5307;36.5426;36.4677;36.8793;37.0131;36.8667;36.8076;36.395;36.4644;36.9187;37.1169
DE;36.2466;36.2309;36.2176;36.3012;36.3717;36.3677;36.3599;36.6233;36.6461;36.6782;36.6718;36.6817;36.7507;36.7424;36.722;36.7267;36.6413;36.5793;36.8754;36.9665
DK;38.2001;38.2372;38.3132;38.1637;38.1744;38.2318;38.2681;38.6251;38.6159;38.6398;38.6716;38.6698;38.4372;38.3759;38.2483;38.3162;38.0769;38.2049;38.4136;38.5074
EE;36.4193;36.2783;36.3873;36.4552;36.7589;36.7601;36.8535;37.1417;37.2661;37.2795;37.1606;37.1662;37.3919;37.5058;37.6352;37.6887;37.547;37.6404;37.9111;38.1271
EL;33.1673;33.2225;33.3163;33.4795;33.7892;33.8698;33.8045;33.4256;33.5676;33.5583;33.433;33.4081;34.1609;34.3355;34.1292;34.3585;34.4229;34.3018;34.3868;34.3572
ES;34.7651;35.5622;35.5932;35.6183;35.5762;35.5461;35.6469;35.8402;35.8492;35.8844;35.8294;35.8674;36.0628;36.1597;36.2588;36.2994;36.3476;36.6711;36.9165;36.9996
FI;38.0712;38.0427;38.0993;38.1394;38.1162;38.0569;38.1096;38.2724;38.3234;38.3446;38.3441;38.3626;38.4528;38.5006;38.5787;38.6564;38.6173;38.7082;38.481;38.534
FR;35.7881;35.6917;35.7797;35.7492;35.7602;35.6844;35.5585;36.0335;36.0783;37.2837;37.3381;37.3515;37.4142;37.4199;37.4298;37.5037;37.1031;36.9547;37.4081;37.4831
HR;33.9791;34.0673;34.4968;34.472;34.3978;34.5299;34.5009;34.536;34.6119;34.5341;34.4709;34.6439;35.1071;34.9724;35.2363;35.4939;35.4147;35.9158;35.8347;36.0548
HU;32.9565;32.807;32.8573;32.8688;32.727;32.5896;32.6079;34.5023;34.4609;34.5733;34.6543;35.4517;35.8003;35.7992;35.7834;35.7652;35.6184;35.8158;36.3607;36.7505
IE;34.6218;34.6157;34.7316;34.839;34.7467;34.6029;34.6579;34.6844;34.7544;34.8428;34.8353;34.7304;36.2455;36.6166;37.1394;37.1549;37.0056;37.2944;37.3597;37.4342
IT;34.6142;34.4991;34.6031;34.6557;34.6787;34.6341;34.66;35.0382;35.1941;35.1237;35.4061;35.3171;35.7736;35.696;35.739;35.7859;35.629;35.9512;35.8912;36.1639
LT;36.1342;36.1116;35.9185;36.0436;35.9306;35.8268;35.7749;35.9588;35.8831;35.981;35.8817;36.048;36.088;36.0819;36.2125;36.2501;36.2531;36.4377;36.6225;36.8805
LU;37.3621;37.2534;37.1954;37.089;37.2744;37.9436;37.9442;37.9727;37.9804;38.0689;38.06;38.1166;37.7021;37.7092;37.7931;37.8796;37.7039;37.7941;37.9098;37.7498
LV;36.3527;36.231;36.1727;36.1713;36.1412;35.8841;35.8836;35.9162;36.2674;36.249;36.0941;36.124;36.7869;36.837;36.7289;36.8409;36.7239;36.993;37.216;37.1912
MT;34.5325;34.9761;35.0944;35.1986;35.4234;35.508;35.6069;35.7956;35.9342;36.0786;36.0841;36.103;36.2671;36.6217;36.7259;36.8093;36.7222;36.9952;37.1291;37.4076
NL;37.6333;37.4882;37.5591;37.659;37.6842;37.6787;37.6925;37.9959;37.9902;38.0583;38.0661;38.1242;38.223;38.2771;38.2321;38.2709;38.274;38.6807;38.7583;38.7854
PL;34.7663;34.6908;34.6823;34.8064;34.7555;34.7507;34.8522;34.7817;34.8068;34.7625;34.7513;34.6912;34.9356;35.0191;35.4178;35.2994;35.0295;35.3973;35.8275;36.0043
PT;33.5619;33.4756;33.5413;33.6169;33.8622;34.158;34.1285;35.6837;35.6626;35.6491;35.7361;35.874;36.1194;36.215;36.3164;36.4134;36.3991;36.6943;36.8345;36.8379
RO;30.9709;31.0766;31.0761;31.1234;31.3536;31.3183;30.9873;31.2042;31.0858;31.4479;31.1186;30.9859;30.9705;30.9259;30.7432;31.1014;30.8536;32.3967;34.105;34.2914
SE;39.0466;38.4881;38.3203;38.3616;38.5313;38.5366;38.6605;38.6417;38.6961;38.7636;38.8046;38.805;38.7563;38.7926;38.8243;38.9409;38.7398;38.9457;39.1374;39.2222
SI;37.346;37.1872;37.1958;37.2315;37.1803;37.2035;37.3081;37.1932;37.0262;36.9261;36.8804;36.8856;37.0509;37.1305;37.1015;37.0955;36.8294;37.6866;37.8768;37.6625
SK;35.8366;35.8697;35.8423;35.8164;35.7122;35.5684;35.5569;35.7117;35.4723;35.4311;35.4415;35.451;35.5472;35.6975;35.9232;35.8237;35.586;36.1291;37.3002;37.0526
UK;37.6675;37.6874;37.6969;37.3108;37.3003;37.3244;37.3066;36.7656;36.8038;36.8235;36.8082;36.8952;36.4655;36.576;36.5754;36.5964;36.5964;36.5964;36.5964;36.6197
