--- COUNTRY --- environment ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;17.9362;17.9533;17.9907;17.9717;17.9457;17.9426;17.9483;17.96;17.9561;17.9647;17.9761;17.9663;17.9595;17.9672;17.9883;17.9479;18.0175;18.0149;18.0139;17.9727;17.9727
BE;17.8305;17.819;17.8817;17.8629;17.9023;17.9597;17.9692;17.9368;17.9836;17.9534;17.9736;17.9847;18.0333;18.0457;17.9968;18.0132;18.0731;18.0743;18.0765;18.0597;18.0597
BG;17.8678;17.8679;17.8681;17.8636;17.9098;17.9245;18.0177;18.0259;18.0469;18.0675;18.0408;18.0665;18.0687;18.0752;18.0909;18.1062;18.1305;18.124;18.1231;18.1364;18.1364
CY;17.6893;17.6893;17.5802;17.549;17.7307;17.7126;17.7641;17.7979;17.8827;17.882;18.0258;18.0679;18.0939;18.0703;18.0375;18.1032;18.1166;18.1164;18.1187;18.0452;18.0452
CZ;17.76;17.76;17.8049;17.8381;17.8479;17.8111;17.858;17.8936;17.9362;17.9291;17.9726;17.9697;17.971;18.0086;17.9967;18.0145;18.0524;18.0636;18.0648;18.048;18.048
DE;17.7696;17.7696;17.6838;17.7439;17.7384;17.7607;17.7841;17.7599;17.763;17.7649;17.7664;17.7636;17.7783;17.7463;17.721;17.746;17.9563;17.9537;17.9554;17.8684;17.8684
DK;17.6326;17.5989;17.5247;17.5661;17.6181;17.6453;17.6722;17.6559;17.7374;17.7841;17.7722;17.7763;17.7475;17.7259;17.728;17.7065;17.7471;17.7158;17.7366;17.7924;17.7924
EE;16.7066;17.4498;17.4281;17.3833;17.5758;17.763;17.7792;17.7248;17.7829;17.8194;17.8075;17.877;17.867;17.9002;17.9007;17.9007;17.9588;17.9481;17.9477;17.9234;17.9234
EL;17.7696;17.7248;17.7528;17.7309;17.7033;17.6669;17.6618;17.6413;17.6349;17.6519;17.7521;17.8107;17.7934;17.778;17.7823;17.7789;17.7748;17.7818;17.7892;17.7695;17.7695
ES;17.8558;17.7862;17.8188;17.8393;17.9193;17.9133;17.9991;18.0618;18.0814;18.0149;18.0478;18.0414;18.0395;18.0718;18.0234;18.0701;17.9554;17.9532;17.9553;17.946;17.946
FI;17.8896;17.8767;17.8766;17.8676;17.8873;17.9387;17.9711;17.9746;17.9798;18.0057;18.024;18.0477;18.0568;18.0467;18.0302;18.0322;18.0279;18.0302;18.0315;17.9157;17.9157
FR;17.7924;17.8728;17.9006;17.8949;17.9344;17.949;17.952;17.971;17.9977;18.006;18.0027;18.0012;17.972;17.9901;17.9559;17.9682;17.8939;17.8918;17.8927;17.9234;17.9234
HR;17.9052;17.9052;17.9052;17.9052;17.9052;17.9175;17.9227;17.9797;18.0203;18.0594;18.1059;18.1165;18.1109;18.1176;18.1211;18.1254;18.1284;18.1317;18.1379;18.1666;18.1666
HU;17.8856;17.8908;18.0058;18.0319;18.091;18.0826;18.1094;18.1181;18.1242;18.0633;18.0424;18.0446;18.0872;18.1045;18.1622;18.1211;18.1392;18.1389;18.1401;18.0981;18.0981
IE;17.7228;17.7528;17.7107;17.7251;17.7563;17.8097;17.8338;17.8675;17.8642;17.8692;17.8797;17.889;17.8987;17.8818;17.8764;17.9025;17.8847;17.8866;17.8964;17.8983;17.8983
IT;17.6419;17.6774;17.6926;17.6939;17.7384;17.7144;17.8049;17.7956;17.8693;17.8773;17.8761;17.8786;17.9375;18.0188;18.0421;18.0246;17.9648;17.9583;17.9442;18.0428;18.0428
LT;17.6787;17.6794;17.6799;17.6804;17.7367;17.7451;17.7847;17.7522;17.7594;17.7527;17.7707;17.7581;17.7902;17.7887;17.7563;17.7968;17.7776;17.777;17.7679;17.8905;17.8905
LU;17.7567;17.7568;17.7997;17.8278;17.8519;17.8439;17.958;18.0055;17.9479;17.9527;17.9171;17.8843;17.9005;17.8474;17.9173;17.8983;17.9255;17.9203;17.9298;17.8459;17.8459
LV;17.6064;17.6323;17.5528;17.5503;17.5579;17.6544;17.6973;17.7746;17.809;17.8629;17.8316;17.8672;17.8964;17.8743;17.8728;17.8883;17.9309;17.9186;17.9042;17.9075;17.9075
MT;17.6534;17.6552;17.5558;17.6306;17.6286;17.5481;17.5142;17.4744;17.5106;17.4851;17.5351;17.7029;17.7125;17.7851;17.6965;17.6306;17.6327;17.6303;17.6258;17.5718;17.5718
NL;17.74;17.7428;17.7808;17.777;17.8339;17.8757;17.9121;17.9098;17.9098;17.9055;17.891;17.9167;17.9156;17.9111;17.857;17.8792;17.9062;17.9067;17.9076;17.8667;17.8667
