--- COUNTRY --- governance ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;19.4628;19.4628;19.4628;19.4628;19.4695;19.5068;19.4174;19.4262;19.4374;19.4348;19.4417;19.4469;19.5459;19.5669;19.564;19.644;19.6584;19.6616;19.6586;19.6548;19.6426
BE;18.8889;18.8485;18.9016;18.9631;19.0409;18.8353;18.86;18.8655;18.9644;19.0126;18.9072;18.9463;18.9623;18.9768;19.0097;18.9646;19.0247;18.9158;19.1891;19.2221;19.143
BG;17.5147;17.5147;17.5147;17.5147;17.5125;17.6245;17.6476;17.7202;17.7045;17.6659;17.6233;17.6027;17.6325;17.6452;17.666;17.6319;17.647;17.5214;16.766;16.7824;16.7597
CY;17.5944;17.5944;17.5944;17.5944;17.6259;17.5804;17.611;17.5898;17.6025;17.5959;17.5335;17.5386;17.4785;17.4932;17.2532;17.2574;17.2529;17.3496;17.3191;17.3376;17.423
CZ;17.8204;17.8204;17.8204;17.8204;17.7858;17.7889;17.8367;17.83;17.8374;17.829;17.6766;17.6874;17.7074;17.7224;17.7154;17.8798;17.9079;17.981;18.1689;18.2135;18.3033
DE;19.5233;19.4829;19.5361;19.5975;19.6764;19.445;19.4804;19.4735;19.5508;19.6015;19.5095;19.554;19.5911;19.6419;19.653;19.6922;19.7542;19.6223;19.7817;19.807;19.7566
DK;19.6149;19.5745;19.6277;19.6971;19.7833;19.6543;19.6831;19.6753;19.757;19.7922;19.6385;19.6703;19.7027;19.7263;19.6231;19.5792;19.6732;19.5394;19.7635;19.7832;19.659
EE;18.7827;18.7422;18.7954;18.8569;18.9825;18.9551;18.9754;18.9364;18.9895;19.01;18.8294;18.887;18.93;18.9667;18.9917;18.948;19.018;18.8907;18.9263;19.011;18.9459
EL;18.4698;18.4167;18.5157;18.394;18.4676;18.4213;18.5563;18.5514;18.6191;18.4803;18.5918;18.6222;18.5903;18.6667;18.5731;18.5693;18.5255;18.5365;18.3597;18.4201;18.3444
ES;18.614;18.5736;18.6268;18.6882;18.7898;18.5756;18.6259;18.5865;18.6722;18.7182;18.6087;18.6594;18.6549;18.6834;18.7153;18.8274;18.8819;18.7298;18.5462;18.5643;18.4041
