--- COUNTRY --- health ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;64.0337;64.04;64.104;64.1418;64.1102;64.1663;64.1167;64.1418;64.2149;64.1605;64.138;64.1601;64.1007;64.0871;64.1303;64.1317;64.2196;64.2561;64.1664;64.1788;64.1791
BE;63.0101;63.0666;63.0936;63.0918;63.0929;63.0863;63.0589;63.0306;63.0756;63.052;63.0696;63.0749;63.0387;63.0515;63.0638;63.018;63.0809;63.1103;63.057;63.0638;63.0356
BG;61.2663;61.351;61.3324;61.4194;61.3593;61.5613;61.6395;61.6494;61.7103;61.7524;61.828;61.8438;61.9407;61.9258;61.9959;62.5248;62.4634;62.4275;62.6249;62.5958;62.6125
CY;61.9052;61.9051;62.0189;62.0619;62.0663;62.0401;61.8792;61.8671;61.9332;61.9534;62.0849;62.2566;62.3589;62.2272;62.1381;62.237;62.2971;62.3565;62.437;62.4653;62.4656
CZ;62.5827;62.58;62.5737;62.6486;62.6343;62.6308;62.7167;62.6332;62.6517;62.5837;62.6186;62.5834;62.5624;62.5446;62.5879;62.1696;62.1737;62.331;62.3134;62.3059;62.306
DE;63.3602;63.3648;63.4422;63.4533;63.5147;63.576;63.6272;63.6508;63.6633;63.6532;63.6583;63.733;63.7541;63.7325;63.7592;64.1323;64.1141;64.0853;64.0995;64.1863;64.1394
DK;63.2706;63.2682;63.2236;63.1889;63.0838;62.9928;63.0362;62.9323;62.9266;62.9231;62.9293;62.8852;62.7434;62.7401;62.7704;62.6463;62.617;62.4924;62.3797;62.3497;62.413
EE;61.0629;61.014;61.0697;61.0808;61.2253;61.1891;61.1163;61.0452;61.0763;60.9381;60.8543;60.8233;60.8845;60.9073;60.7532;61.7205;61.856;61.7859;61.7951;61.7429;61.8085
EL;62.0816;62.1426;62.1875;62.1919;62.1854;62.2194;62.1564;62.1448;62.0926;62.0385;61.9729;61.9736;61.9747;62.0875;62.174;62.4023;62.4657;62.4595;62.4152;62.4077;62.4077
ES;62.3798;62.3947;62.4358;62.4295;62.5251;62.5137;62.601;62.7734;62.6954;62.5556;62.6193;62.5998;62.6773;62.8159;62.7439;63.2549;63.1036;63.014;62.9168;62.9497;62.968
FI;63.3484;63.3528;63.3897;63.4503;63.495;63.3748;63.3118;63.2492;63.1595;63.0507;63.142;63.0715;63.0044;62.9549;62.8686;62.7885;62.6116;62.7174;62.407;62.3725;62.3728
FR;63.0835;63.0724;63.0746;63.1004;63.0551;62.9998;62.9452;62.9558;62.9646;62.9492;62.9501;62.961;62.9044;62.9016;62.9162;63.1369;63.1182;63.1244;62.982;62.9851;62.9853
HR;60.8844;60.8784;60.9045;60.9441;60.9576;60.9455;61.0299;61.0976;61.3075;61.2272;61.5237;61.4299;61.4914;61.5288;61.6157;61.999;62.1022;62.1547;62.2679;62.332;62.3321
HU;62.2869;62.2482;62.4441;62.2421;62.4821;62.5706;62.5679;62.6107;62.633;62.6483;62.6942;62.6056;62.7306;62.6928;62.752;62.9612;62.9681;63.0454;63.0473;63.1708;63.1707
IE;62.8448;62.8554;62.8761;62.9035;62.907;62.8849;62.8351;62.812;62.7531;62.73;62.7745;62.9385;63.0023;62.9992;63.0984;63.5821;63.5766;63.5563;63.4889;63.475;63.4754
IT;62.8042;62.7624;62.72;62.7961;62.7587;62.761;62.7913;62.6643;62.7128;62.6228;62.6609;62.6319;62.959;63.1706;63.0964;63.2562;63.2303;63.2221;63.2449;63.2913;63.2913
LT;62.0167;61.9838;62.0214;62.1705;62.1621;62.3069;62.4103;62.3384;62.3506;62.3415;62.3046;62.1425;62.1543;62.1886;62.1569;62.5779;62.4577;62.5474;62.5252;62.5193;62.5195
LU;63.4435;63.529;63.5085;63.562;63.5939;63.6691;63.6668;63.6587;63.706;63.6072;63.6344;63.5556;63.4446;63.4377;63.3917;63.3998;63.4423;63.4236;63.3765;63.3723;63.3738
LV;61.3494;61.3551;61.5064;61.5964;61.6514;61.5823;61.3287;61.2972;61.4385;61.2586;61.26;61.3655;61.4378;61.2849;61.3944;61.3061;61.3645;61.3866;61.3396;61.2416;61.2834
MT;62.3193;62.3373;62.4071;62.479;62.485;61.8646;61.8393;61.8515;62.0029;62.0902;62.2128;62.1749;62.1958;62.2328;62.194;62.2549;62.3509;62.2361;62.2936;62.368;62.3689
NL;63.4896;63.4901;63.4964;63.4959;63.4485;63.4447;63.4097;63.3621;63.2935;63.2242;63.3911;63.3547;63.3956;63.3733;63.3591;63.3893;63.4145;63.3617;63.0844;63.0519;63.0521
PL;61.3844;61.3558;61.314;61.3502;61.4241;61.3771;61.3843;61.4067;61.3942;61.4184;61.4572;61.4351;61.49;61.4765;61.4758;61.9447;62.0345;62.165;62.1262;62.1431;62.143
PT;61.4837;61.5573;61.628;61.5212;61.591;61.5021;61.5959;61.6752;61.6337;61.5469;61.4204;61.4257;61.5464;61.588;61.6467;61.6479;61.6915;61.6621;61.5804;61.6178;61.619
RO;58.2155;58.2779;58.299;58.2998;58.4013;58.4638;58.421;58.4;58.5015;58.5999;58.6886;58.762;58.8837;58.9269;58.9978;59.4028;59.4616;59.4913;59.5968;59.5702;59.5702
SE;63.6614;63.6904;63.7592;63.7852;63.7224;63.7744;63.8146;63.7853;63.7714;63.7235;63.8133;63.779;63.6888;63.6756;63.6736;63.5946;63.5495;63.38;63.1925;63.205;63.205
SI;62.0916;62.131;62.217;62.2614;62.3056;62.4888;62.3;62.3581;62.4565;62.6379;62.6813;62.6872;62.7464;62.6067;62.6743;62.3622;62.4881;62.5029;62.5149;62.5129;62.5131
SK;62.4096;62.3984;62.3795;62.3829;62.4214;62.4815;62.4822;62.4093;62.4787;62.4773;62.4999;62.5086;62.5907;62.5732;62.5401;62.5517;62.5041;62.5159;62.4966;62.5613;62.5613
UK;63.2861;63.2748;63.3107;63.2834;63.3343;63.2877;63.2852;63.2345;63.2545;63.2199;63.1652;63.1408;63.1327;63.1203;63.0199;63.0471;63.0502;63.0942;63.0185;63.0185;63.0185
