--- COUNTRY --- leisureInteractions ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;36.3165;36.3165;36.3165;36.3165;36.3165;36.3165;36.3165;36.3165;36.3165;36.3165;36.3165;36.3175;36.3175;36.3175;36.3226;36.3226;36.3226;36.3226;35.7372;35.7372;35.7372
BE;34.1948;34.1948;34.1948;34.1948;34.1948;34.1948;34.1948;34.1948;34.1948;34.1948;34.1948;34.2088;34.2088;34.2088;34.3689;34.3689;34.3689;34.3689;34.069;34.069;34.069
BG;29.8767;29.8767;29.8767;29.8767;29.8767;29.8767;29.8767;29.8767;29.8767;29.8767;29.8767;29.9328;29.9328;29.9328;30.5555;30.5555;30.5555;30.5555;28.9972;28.9972;28.9972
CY;32.2975;32.2975;32.2975;32.2975;32.2975;32.2975;32.2975;32.2975;32.2975;32.2975;32.2975;32.3223;32.3223;32.3223;32.5481;32.5481;32.5481;32.5481;32.2067;32.2067;32.2067
CZ;34.5297;34.5297;34.5297;34.5297;34.5297;34.5297;34.5297;34.5297;34.5297;34.5297;34.5297;34.5619;34.5619;34.5619;34.6535;34.6535;34.6535;34.6535;34.5593;34.5593;34.5593
DE;34.5344;34.5344;34.5344;34.5344;34.5344;34.5344;34.5344;34.5344;34.5344;34.5344;34.5344;34.5955;34.5955;34.5955;34.6325;34.6325;34.6325;34.6325;34.6325;34.6325;34.6325
DK;36.3608;36.3608;36.3608;36.3608;36.3608;36.3608;36.3608;36.3608;36.3608;36.3608;36.3608;36.384;36.384;36.384;36.3462;36.3462;36.3462;36.3462;35.7774;35.7774;35.7774
EE;33.8979;33.8979;33.8979;33.8979;33.8979;33.8979;33.8979;33.8979;33.8979;33.8979;33.8979;33.9032;33.9032;33.9032;34.0367;34.0367;34.0367;34.0367;33.8957;33.8957;33.8957
EL;31.5875;31.5875;31.5875;31.5875;31.5875;31.5875;31.5875;31.5875;31.5875;31.5875;31.5875;31.8148;31.8148;31.8148;31.9438;31.9438;31.9438;31.9438;31.4136;31.4136;31.4136
ES;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.2406;33.5262;33.5262;33.5262;33.5262;32.8059;32.8059;32.8059
FI;36.7662;36.7662;36.7662;36.7662;36.7662;36.7662;36.7662;36.7662;36.7662;36.7662;36.7662;36.7621;36.7621;36.7621;36.8492;36.8492;36.8492;36.8492;36.3564;36.3564;36.3564
FR;34.1751;34.1751;34.1751;34.1751;34.1751;34.1751;34.1751;34.1751;34.1751;34.1751;34.1751;34.1436;34.1436;34.1436;34.2443;34.2443;34.2443;34.2443;33.3981;33.3981;33.3981
HR;32.8538;32.8538;32.8538;32.8538;32.8538;32.8538;32.8538;32.8538;32.8538;32.8538;32.8538;32.9089;32.9089;32.9089;32.9859;32.9859;32.9859;32.9859;32.1676;32.1676;32.1676
HU;32.0796;32.0796;32.0796;32.0796;32.0796;32.0796;32.0796;32.0796;32.0796;32.0796;32.0796;32.0993;32.0993;32.0993;32.0963;32.0963;32.0963;32.0963;32.4723;32.4723;32.4723
IE;35.7868;35.7868;35.7868;35.7868;35.7868;35.7868;35.7868;35.7868;35.7868;35.7868;35.7868;35.7941;35.7941;35.7941;35.7991;35.7991;35.7991;35.7991;34.717;34.717;34.717
