--- COUNTRY --- livingConditions ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;56.106;56.0771;56.0743;56.0909;55.9554;56.0259;56.1263;56.0971;56.0901;55.9674;55.9574;55.9592;55.9762;55.9715;56.066;55.9977;56.0443;55.9732;56.0036;55.9503;55.9317
BE;56.0175;56.0595;56.0617;56.0434;55.9449;55.975;55.9073;55.9661;56.0021;56.0909;56.0778;56.0314;55.9859;55.8441;55.8376;55.8421;55.9135;55.9338;56.0267;55.9673;56.0156
BG;47.1515;47.1248;47.087;47.1634;48.0266;48.2587;48.2839;48.299;48.2539;48.264;48.6681;48.8165;48.8727;49.1828;50.0609;50.3529;50.618;50.8636;50.4179;50.7715;50.8893
CY;54.2502;54.2236;54.1873;54.4092;54.2866;54.2545;54.1511;54.1372;54.2225;53.7881;53.7326;53.6792;53.7251;54.0979;54.5912;54.8339;54.8649;54.8772;55.0616;55.2501;55.2315
CZ;52.459;52.4324;52.4404;52.7226;52.904;53.1615;53.3903;53.4946;53.4177;53.4959;53.5344;53.7191;53.9038;54.0791;54.6281;54.7348;54.8223;54.6814;54.5298;54.499;54.4803
DE;55.6272;55.6005;55.464;55.8535;55.7465;55.7223;55.7599;55.7865;55.825;55.8134;55.8764;55.8389;55.8121;55.8495;56.1288;56.0956;56.1218;56.0094;55.882;55.77;55.8323
DK;56.6177;56.6279;56.5859;56.5851;56.6047;56.5529;56.6283;56.6605;56.639;56.5912;56.6378;56.5807;56.6172;56.5949;56.6393;56.6655;56.6591;56.6964;56.4363;56.3219;56.3691
EE;50.7278;51.0357;51.1581;51.44;51.6122;51.5206;51.5748;52.7531;52.8806;52.7761;53.2635;53.4323;53.5264;53.6132;53.9318;53.9549;54.0593;53.9885;54.4067;54.1093;54.1672
EL;51.0311;50.8857;50.7983;50.9236;50.8957;50.968;51.0322;50.6868;50.0231;49.5364;49.6055;49.5073;49.5372;49.5806;50.0989;50.3168;50.3329;50.3177;50.6481;50.7844;50.7658
ES;53.8185;54.3554;54.4907;54.5538;54.6706;54.614;54.5272;54.4581;54.4355;54.2603;54.1984;54.3003;54.275;54.5502;54.9779;55.0191;54.7938;54.8607;54.7954;54.7497;54.8002
FI;56.3228;56.3758;56.4166;56.459;56.4693;56.462;56.4974;56.4961;56.5409;56.5711;56.4698;56.4518;56.4314;56.4001;56.4624;56.505;56.5021;56.4111;56.4228;56.4018;56.3831
FR;54.869;55.0105;55.0383;54.8915;55.0453;55.0005;55.0195;55.114;55.1409;55.1498;55.0894;55.1085;55.042;55.0417;55.107;55.1392;54.9429;54.9088;54.7957;54.7431;54.7245
HR;50.5248;50.4982;50.4604;50.402;50.3323;50.3108;50.3341;50.2034;50.0408;50.0589;50.1613;50.4852;50.6796;50.978;51.4374;51.735;51.8831;52.1357;52.3778;52.6107;52.592
HU;49.4193;49.3926;49.3613;49.884;49.6492;49.717;49.5246;49.6201;49.524;49.7484;49.9511;50.3739;50.5165;50.6578;52.1219;52.25;52.4278;52.5062;52.9168;53.0321;53.0134
IE;55.7558;55.8211;55.8579;56.0259;55.958;55.8038;55.6621;55.6151;55.5705;55.5343;55.504;55.9541;55.9906;56.1665;57.105;57.055;57.1758;57.2251;56.7713;56.7046;56.6859
IT;52.908;52.9642;52.9236;52.9008;52.872;52.9653;52.9522;52.6976;52.5454;52.4386;52.4232;52.4302;52.4916;52.6996;53.2394;53.2925;53.3453;53.2835;53.2465;53.3296;53.3109
LT;49.745;49.7184;49.9129;50.6652;50.846;50.9236;50.6827;52.1323;52.3066;52.1017;52.3213;52.4615;52.6509;52.7447;52.8663;53.1104;53.4623;53.3054;53.7775;53.6708;53.6522
LU;57.6659;57.71;57.6822;57.7271;57.5969;57.6242;57.6792;57.7016;57.6214;57.6173;57.6581;57.5832;57.4139;57.4686;57.3646;57.4127;57.2919;57.4367;57.5563;57.5052;57.4866
LV;47.5505;47.5239;47.9518;48.6622;48.8949;48.8161;48.5168;49.2859;49.8265;49.946;50.074;50.2471;50.3239;50.4552;50.9653;51.1882;51.3231;51.4495;51.5121;51.523;51.6497
MT;54.8737;54.8471;54.7471;54.7201;54.7926;54.5595;54.5108;54.7508;54.585;54.7076;54.8545;55.1198;55.2652;55.4381;56.1647;56.1798;56.159;56.1931;55.9533;56.0291;56.0104
NL;56.5454;56.5188;56.6011;56.6151;56.6634;56.6546;56.6267;56.6049;56.5469;56.3968;56.2992;56.286;56.3222;56.3906;56.4586;56.4113;56.4489;56.5828;56.8253;56.8213;56.8027
PL;50.0012;49.9746;50.2969;50.7261;51.2764;51.565;51.6991;51.8129;51.9061;52.075;52.2313;52.3518;52.64;52.7337;53.1043;53.2966;53.5496;53.6108;53.4856;53.5851;53.5664
PT;52.2148;52.1349;52.2267;52.2643;52.0175;52.005;52.0049;52.4416;52.4491;52.1914;52.2814;52.3668;52.4727;52.5686;53.3923;53.5175;53.6122;53.4691;53.9831;53.9883;53.9696
RO;47.9103;47.8837;47.8459;47.7875;48.0868;48.3236;48.5382;48.5541;48.5357;48.6105;48.8379;49.0439;49.3369;49.904;50.693;51.013;50.9979;51.2876;51.5718;51.6378;51.6192
SE;56.4053;56.5416;56.4881;56.5431;56.4335;56.4214;56.3845;56.3296;56.4411;56.4465;56.4833;56.4818;56.4266;56.3598;56.3685;56.3248;56.3257;56.3378;56.1576;56.1348;56.1161
SI;52.0838;52.0572;52.1233;52.2273;51.9355;51.9923;52.0281;53.0896;53.1786;53.2337;53.2821;53.3924;53.476;53.5889;54.1885;54.3914;54.4277;54.5907;54.7095;54.7959;54.7773
SK;50.8192;50.7926;50.9453;51.4581;51.5544;52.0259;52.1419;52.2607;52.3014;52.119;52.2019;52.1504;52.1313;52.0242;52.5162;52.6236;52.7469;52.6498;52.2027;52.1663;52.1476
UK;55.9865;55.9599;55.9737;55.9438;55.8544;55.6974;55.6694;55.6697;55.651;55.6659;55.7538;55.8404;55.7208;56.0287;56.2851;56.234;56.2028;56.1442;56.1385;56.0603;56.0416
