--- COUNTRY --- mainActivity ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;55.3686;55.5446;55.6058;55.7113;55.8616;55.8316;55.8879;55.9196;56.0114;56.0008;56.038;56.0531;56.0951;56.1149;56.1731;56.244;56.1993;56.2618;56.3968;56.4543;56.4484
BE;54.6043;54.6376;54.7006;54.77;54.839;54.8533;54.8579;54.8921;54.961;54.9667;55.0389;55.089;55.1354;55.2078;55.276;55.3626;55.3892;55.4387;55.5387;55.5928;55.5865
BG;51.2087;51.0335;51.3937;51.6937;52.0977;52.1063;51.8613;51.7027;51.4359;51.6261;51.8184;52.1327;52.3418;52.4006;52.6887;52.8964;52.7967;52.9278;53.0303;53.0737;53.074
CY;53.0118;53.0083;52.9836;53.1467;53.09;53.0104;52.9755;52.6448;52.34;52.1245;51.9549;51.8271;51.9722;52.2301;52.5226;52.9428;53.0289;53.2596;53.2317;53.2456;53.2275
CZ;53.9871;54.3724;54.4842;54.5906;54.6527;54.6289;54.5933;54.6362;54.7284;54.8233;54.8356;54.9505;55.0325;55.2137;55.4126;55.4726;55.5075;55.4292;55.4851;55.434;55.4273
DE;54.6982;54.7058;54.7429;54.8623;54.9221;54.9817;55.0112;55.1875;55.256;55.2843;55.3276;55.3978;55.4581;55.5717;55.6558;55.7392;55.729;55.752;55.8447;55.9111;55.9071
DK;56.3086;56.2994;56.3954;56.4927;56.7145;56.584;56.501;56.4864;56.4434;56.4024;56.4377;56.5052;56.5667;56.5478;56.4737;56.5662;56.5308;56.5577;56.7466;56.7629;56.7581
EE;54.108;54.131;54.3488;54.5297;54.588;54.3478;54.1673;54.3629;54.5043;54.5962;54.6801;54.7391;54.8276;54.9662;55.2732;55.3315;55.2969;55.2819;55.5238;55.5704;55.5639
EL;52.2657;52.3066;52.4948;52.5388;52.5823;52.4419;52.2815;51.983;51.6426;51.4982;51.3318;51.4827;51.3912;51.6852;51.7338;51.9766;52.1297;52.4959;52.8871;53.1292;53.1305
ES;53.4241;53.4119;53.4926;53.5769;53.5464;53.2667;53.029;52.7951;52.5483;52.4054;52.3948;52.5183;52.6537;52.81;53.3245;53.4259;53.4424;53.4908;53.7107;53.8803;53.8692
FI;56.4204;56.4066;56.4381;56.4968;56.5184;56.4241;56.3703;56.3455;56.391;56.3602;56.2837;56.1878;56.087;56.1827;56.2803;56.3756;56.3905;56.5026;56.6263;56.6793;56.6721
FR;54.4377;54.4507;54.4675;54.4899;54.4868;54.5097;54.4929;54.5246;54.5472;54.5223;54.4056;54.4053;54.4256;54.4808;54.5908;54.6838;54.6857;54.9177;54.9581;54.9973;54.9946
HR;53.0689;52.8404;52.8524;53.0497;53.1531;53.1686;53.0405;52.8758;52.7982;52.7633;52.7524;52.8149;52.9066;52.9753;53.2333;53.5119;53.6412;53.6668;53.7938;53.8827;53.8798
HU;52.6405;52.6682;52.7117;52.7069;52.7384;52.7223;52.6976;52.7217;52.7991;52.8623;53.0462;53.2155;53.4035;53.6579;54.1304;54.2604;54.323;54.3815;54.4781;54.4086;54.4102
IE;54.2264;54.3028;54.3866;54.4732;54.4716;54.0752;53.7943;53.69;53.9722;54.0953;54.2451;54.3441;54.5969;54.727;55.0891;55.1746;55.2306;55.3707;55.5328;55.5089;55.4938
IT;52.9248;52.9531;53.0973;53.1847;53.1993;53.1108;52.9637;52.8924;52.8146;52.6707;52.6254;52.6802;52.8516;53.0182;52.9837;53.055;53.0032;53.0588;53.265;53.3706;53.371
LT;52.9278;53.1016;53.4079;53.6925;53.736;53.4313;53.2491;53.2536;53.3509;53.4991;53.7216;53.6885;53.7869;53.9162;53.9816;54.1058;54.0838;54.2026;54.41;54.3473;54.3374
LU;55.612;55.5816;55.5912;55.7345;55.6438;55.6594;55.7296;55.7158;55.5903;55.6558;55.6557;55.5971;55.623;55.6285;55.3239;55.3861;55.4019;55.426;55.5059;55.4777;55.4609
LV;52.73;52.9383;53.2197;53.4761;53.4998;52.7934;52.7997;52.8881;53.0211;53.1622;53.37;53.4899;53.4048;53.544;53.7636;53.977;54.0485;53.9314;54.0133;54.0034;54.0094
MT;53.0289;53.1981;53.2197;53.3484;53.4785;53.4464;53.555;53.8635;53.9506;53.9732;54.0949;54.0814;54.2692;54.3646;54.4094;54.4504;54.576;54.6755;54.8685;54.8956;54.8569
