--- COUNTRY --- qoli ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;30.6765;30.6764;30.6807;30.6786;30.6768;30.6812;30.6805;30.6855;30.6925;30.6892;30.6905;30.6919;30.7063;30.7102;30.7228;30.7252;30.7267;30.734;30.7169;30.7139;30.7128
BE;30.4725;30.4729;30.4792;30.4789;30.4841;30.477;30.4775;30.4725;30.4809;30.484;30.4859;30.4876;30.5051;30.5122;30.5251;30.523;30.5326;30.5381;30.5494;30.5541;30.5505
BG;29.5259;29.5209;29.5346;29.5367;29.6019;29.6202;29.6252;29.61;29.6026;29.6196;29.6513;29.6604;29.6793;29.6918;29.7814;29.7883;29.788;29.8044;29.7149;29.7246;29.7224
CY;30.1061;30.0948;30.099;30.1151;30.1323;30.1195;30.1061;30.0971;30.0983;30.0806;30.0786;30.0914;30.1091;30.1237;30.1436;30.1644;30.1697;30.2005;30.2233;30.2268;30.2317
CZ;30.2035;30.2094;30.22;30.2372;30.2485;30.2479;30.2618;30.2758;30.2774;30.2765;30.274;30.282;30.3021;30.3197;30.3569;30.3658;30.3646;30.3732;30.3647;30.3684;30.3726
DE;30.5061;30.5009;30.4847;30.5043;30.5086;30.4999;30.5063;30.516;30.5236;30.5263;30.5244;30.5315;30.5396;30.5437;30.5603;30.5722;30.5795;30.5705;30.5844;30.581;30.581
DK;30.7261;30.7193;30.7205;30.7338;30.7383;30.7292;30.7361;30.7418;30.7488;30.7559;30.7496;30.7521;30.7431;30.7424;30.7223;30.7238;30.7204;30.715;30.7004;30.7035;30.7009
EE;30.089;30.1259;30.1508;30.1703;30.2145;30.2154;30.2075;30.2338;30.2491;30.2537;30.2544;30.2743;30.2933;30.3036;30.3456;30.3656;30.3788;30.3702;30.3764;30.378;30.3734
EL;29.8796;29.8737;29.8951;29.8982;29.9153;29.908;29.9022;29.8708;29.8481;29.8133;29.8168;29.8281;29.8477;29.8636;29.9363;29.9552;29.9561;29.9635;29.9832;29.9886;29.983
ES;30.2626;30.2931;30.3051;30.314;30.3266;30.3024;30.3066;30.3137;30.3099;30.3005;30.2959;30.3067;30.3164;30.3357;30.3764;30.3998;30.386;30.389;30.357;30.3616;30.3527
FI;30.7359;30.7298;30.737;30.7436;30.7441;30.7426;30.7485;30.7527;30.7557;30.757;30.7586;30.7575;30.7575;30.7597;30.7629;30.7672;30.7623;30.768;30.7429;30.7351;30.7359
FR;30.3898;30.397;30.4034;30.3996;30.403;30.3999;30.396;30.4142;30.4168;30.4503;30.4498;30.4503;30.4493;30.4485;30.4656;30.4784;30.4581;30.4544;30.3944;30.4015;30.4076
HR;29.9564;29.9503;29.9592;29.958;29.9518;29.9534;29.9547;29.9497;29.952;29.954;29.9643;29.99;30.0108;30.0192;30.0709;30.1011;30.1066;30.1324;30.0918;30.112;30.1074
HU;29.9517;29.9487;29.971;29.9664;29.9706;29.939;29.9402;29.9999;29.9923;30;29.9963;30.0397;30.0846;30.1043;30.1577;30.1633;30.1647;30.1681;30.2112;30.2248;30.2263
IE;30.4825;30.4872;30.4824;30.4909;30.4907;30.4735;30.4704;30.4642;30.4678;30.4665;30.4655;30.48;30.5333;30.5513;30.5994;30.6091;30.6052;30.6186;30.5456;30.5467;30.5457
IT;30.152;30.1481;30.1564;30.1603;30.1656;30.1482;30.1563;30.1535;30.1602;30.1518;30.1486;30.147;30.1783;30.1963;30.2282;30.2335;30.2293;30.2286;30.1607;30.1834;30.1768
