--- COUNTRY --- safety ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AT;28.3321;28.2161;28.2094;28.127;28.0689;28.0482;28.0807;28.1008;28.159;28.1478;28.1212;28.1253;28.1277;28.1383;28.1656;28.1972;28.2523;28.2948;28.277;28.1891;28.2072
BE;27.6534;27.732;27.7147;27.6461;27.6373;27.6177;27.603;27.6505;27.6463;27.6578;27.7116;27.7212;27.7101;27.7307;27.7499;27.745;27.8346;27.7944;27.8214;27.8151;27.81
BG;23.0574;22.9622;22.9142;22.695;23.5494;23.6337;23.6512;23.7406;23.6339;23.8637;24.3549;24.3358;24.4127;24.4587;24.93;24.9253;24.9406;25.28;25.4834;25.4622;25.4838
CY;25.887;25.9481;25.9239;25.9985;26.2117;26.0729;25.7565;25.6809;25.666;25.5706;25.4602;25.5283;25.8058;25.9047;25.9029;26.0589;26.2906;26.2346;26.3151;26.3489;26.4138
CZ;25.96;26.0112;26.0935;26.2379;26.2375;26.2521;26.2698;26.2524;26.2449;26.2567;26.3033;26.4012;26.4813;26.6075;26.6931;26.7979;26.9018;26.8875;26.8435;26.8098;26.8109
DE;28.094;28.0264;27.6606;27.6993;27.6583;27.6692;27.7104;27.7126;27.7351;27.7042;27.7289;27.7601;27.8318;27.8629;27.9082;27.9527;27.8034;27.8642;27.8241;27.7512;27.8055
DK;27.8898;27.784;27.7981;28.081;27.9222;27.8944;27.9621;27.9363;27.9289;28.0312;28.0224;28.0404;27.9692;28.0162;27.9841;28.0064;27.9854;28.019;27.8877;27.8473;27.883
EE;24.8858;24.7303;25.0551;25.2536;25.5469;25.5088;25.2823;25.2466;25.257;25.3469;25.4674;25.6931;25.8708;25.8418;25.9387;26.0336;26.202;26.156;25.96;25.982;25.9047
EL;26.6592;26.6313;26.8728;26.946;27.0873;26.968;26.753;26.5931;26.3388;25.9559;25.916;25.8892;25.9181;25.8956;25.9261;25.925;25.8557;25.9567;25.8232;25.7425;25.8316
ES;26.6946;26.8;26.848;26.8803;26.9007;26.7636;26.7217;26.812;26.7206;26.6924;26.7269;26.8208;26.8531;26.9355;26.9213;26.9979;26.8469;26.9326;26.9583;26.9324;26.9462
FI;27.4915;27.3452;27.4504;27.5418;27.5113;27.5293;27.6442;27.6524;27.6858;27.7007;27.7601;27.7595;27.7846;27.8178;27.8125;27.7992;27.7722;27.7828;27.783;27.6729;27.6365
FR;27.6575;27.733;27.7675;27.7315;27.6921;27.6625;27.6759;27.7203;27.7293;27.7337;27.7412;27.7565;27.7832;27.8003;27.7431;27.7704;27.7144;27.6773;27.6242;27.6899;27.6833
HR;25.4624;25.3674;25.2789;25.1837;25.064;25.0649;25.0474;24.9935;24.9235;24.9905;25.0947;25.2252;25.4047;25.5369;25.6939;25.7857;25.837;25.9278;25.9555;26.0601;26.2024
HU;25.4649;25.5693;25.7777;25.3441;25.396;24.9558;25.0161;25.0364;24.7911;24.7869;24.7222;24.907;25.4945;25.8273;25.8674;25.8311;25.7626;25.794;25.8547;25.8755;25.9322
IE;27.0215;27.0337;26.8102;26.7996;26.7737;26.6308;26.6976;26.5073;26.4498;26.3462;26.3063;26.4278;26.5583;26.6452;26.6911;26.6923;26.6401;26.7492;26.6008;26.6081;26.6308
IT;27.6663;27.6273;27.6343;27.5387;27.5184;27.4661;27.5361;27.4033;27.3126;27.2848;27.2456;27.2041;27.3233;27.4296;27.4871;27.5655;27.6019;27.5631;27.6156;27.708;27.6893
LT;24.0689;24.1629;24.5553;25.2222;25.5095;25.3091;25.0022;25.0055;25.079;25.1032;25.2407;25.3134;25.3479;25.4638;25.6955;25.8782;26.074;26.1994;26.086;26.0605;26.0693
LU;28.9159;28.8425;28.9106;28.7913;28.8048;28.6772;28.5983;28.6337;28.5872;28.6367;28.5803;28.613;28.6267;28.7133;28.7487;28.7176;28.5952;28.5554;28.6299;28.5773;28.6017
LV;23.3721;23.4424;23.6847;23.9514;24.1584;23.9292;23.9565;23.7243;24.0773;24.3581;24.4133;24.7259;24.821;24.9028;25.1086;25.3349;25.4926;25.8686;25.8188;25.7938;25.789
MT;26.1806;26.2036;26.1997;26.2462;26.2321;26.2787;26.3674;26.264;26.3178;26.2621;26.2303;26.306;26.381;26.4753;26.4041;26.3517;26.4264;26.4009;26.2931;26.3352;26.3047
NL;27.9706;27.9768;28.0888;28.1202;28.1485;28.0083;27.99;28.0014;28.0127;27.982;27.923;27.9195;27.9279;27.9875;27.9487;27.9079;27.9384;27.9943;28.0161;27.992;27.9667
PL;25.1639;25.0683;25.3145;25.4677;25.688;25.7624;25.7995;25.819;25.8221;25.9368;25.9739;26.2021;26.3522;26.3747;26.488;26.6657;26.8085;26.827;26.7905;26.836;26.8837
PT;26.9427;27.0258;27.1143;27.0082;26.9206;26.8514;26.889;26.8166;26.6667;26.6453;26.6577;26.6828;26.7421;26.7592;26.8342;26.86;26.8384;26.8433;26.9288;26.9265;26.947
RO;23.7001;23.7399;23.8522;24.1739;24.5489;24.6828;24.7757;24.5999;24.4585;24.4027;24.5486;24.6921;24.7818;25.0282;25.2707;25.4672;25.5962;25.7198;25.6682;25.7751;25.8774
SE;28.0717;28.0628;28.0333;27.9998;27.9296;27.8631;27.8273;27.8117;27.8338;27.8102;27.7776;27.7863;27.7417;27.7054;27.6312;27.598;27.5397;27.5632;27.5655;27.6029;27.5903
SI;26.5867;26.5518;26.5835;26.5389;26.4559;26.3949;26.3593;26.3728;26.325;26.2809;26.2194;26.3166;26.3666;26.4841;26.5741;26.6071;26.7502;26.8612;26.9314;26.961;26.9524
SK;25.0072;25.0484;25.3332;25.5682;25.7096;25.7363;25.8811;25.9492;25.9703;25.956;26.0033;26.0621;25.9068;25.9015;25.8998;25.9242;26.1098;26.1462;26.0491;26.0208;26.0406
UK;27.269;27.2442;27.3184;27.2373;27.2037;27.1331;27.1053;27.1227;27.1063;27.0836;27.0403;27.0568;26.9721;27.0701;26.9247;26.8668;26.7499;26.6779;26.6191;26.6189;26.6189
